Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,team_avg_pull,team_avg_blk,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,BLK/PP %,Pull/Team Pull %,BLK/Team avg BLK %,SCR/POS %_adj,BLK/PP %_adj,PM/PP_adj,Y/POS_adj,HA/POS %_adj,CMP/POS_adj,AST/POS %_adj,GLS/POS %_adj,T/POS %_adj,TY/POS_adj,RY/POS_adj,Y/CMP_adj,MP_adj,DPP_adj,Pull/Team Pull %_adj,Hck_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_Z,DPP_Z,Pull_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Rick Gross,13.0,256.0,278.0,45.0,19.0,26.0,5.0,40.0,346.0,97.19,4494.0,1811.0,2683.0,61.51,25.0,8.0,0.0,2.0,0.0,4.0,66.67,0.0,232.0,24.0,298.0,alleycats,2023.0,215.0,8.0,6.0,6.83,9.35,16.19,1.24,0.16,7.0,10.0,16.0,8.99,2.88,12.99,1.95,0.0,83.33,16.08,1.99,0.15,15.79,8.85,1.23,6.8,9.27,2.95,6.93,9.83,13.09,294.74,26.08,3.47,4.0,1.16,-0.18,1.37,1.56,1.63,1.44,0.65,1.35,-0.03,1.84,0.84,1.41,-0.47,1.33,-0.88,-0.41,1.2,-0.18,1.7,0.25
Christian Olsen,13.0,228.0,272.0,35.0,13.0,22.0,3.0,26.0,391.0,97.51,3634.0,2442.0,1192.0,62.5,31.0,10.0,1.0,2.0,0.0,3.0,75.00,0.0,211.0,17.0,282.0,hustle,2023.0,206.0,12.0,6.0,4.78,8.09,12.87,1.44,0.11,9.0,4.0,13.0,11.4,3.68,9.29,1.32,0.0,50.0,12.87,1.38,0.11,12.89,11.17,1.42,4.82,8.05,3.73,8.86,4.04,9.53,279.23,19.38,3.55,3.04,0.61,-0.65,0.4,1.02,2.3,1.77,0.11,0.95,0.25,0.18,1.45,1.53,-1.02,1.1,-0.98,-0.41,1.26,-0.44,1.65,0.405
Ben Jagt,14.0,263.0,208.0,50.0,15.0,35.0,17.0,53.0,125.0,89.29,3634.0,855.0,2779.0,59.13,18.0,13.0,0.0,1.0,1.0,3.0,75.00,137.0,75.0,188.0,315.0,empire,2023.0,243.0,15.0,8.0,7.21,16.83,24.04,0.6,0.2,4.0,13.0,17.0,8.65,6.25,29.07,6.46,913.33,212.5,23.53,6.3,0.19,16.68,8.48,0.62,7.15,16.38,6.19,4.05,12.63,28.47,309.91,183.23,876.02,3.05,1.44,2.66,2.28,1.02,0.85,-0.15,0.29,2.23,0.66,1.95,-0.09,1.11,1.92,1.57,1.54,3.31,0.35,2.12,1.64,0.506
Jonathan Mast,12.0,254.0,325.0,36.0,28.0,8.0,3.0,20.0,551.0,95.66,5134.0,3901.0,1233.0,52.62,40.0,19.0,1.0,0.0,0.0,14.0,66.67,0.0,254.0,0.0,290.0,thunderbirds,2023.0,193.0,7.0,6.0,8.62,2.46,11.08,1.7,0.08,12.0,4.0,16.0,12.31,5.85,9.32,1.18,0.0,50.0,11.14,1.23,0.08,15.82,12.09,1.68,8.54,2.6,5.82,11.79,4.03,9.52,287.43,2.51,2.99,13.7,0.66,-0.65,-0.01,1.95,3.3,2.92,1.45,-0.42,1.5,0.23,2.87,0.3,-1.01,1.22,-1.23,-0.41,1.22,-0.44,1.59,-0.025
Austin Taylor,13.0,267.0,323.0,53.0,44.0,9.0,0.0,31.0,510.0,95.15,5358.0,4217.0,1141.0,60.06,38.0,21.0,0.0,1.0,0.0,27.0,75.00,1.0,258.0,9.0,313.0,hustle,2023.0,206.0,12.0,6.0,13.62,2.79,16.41,1.58,0.12,13.0,4.0,17.0,11.76,6.5,10.51,0.0,8.33,0.0,16.31,0.09,0.12,16.79,11.56,1.56,13.39,2.92,6.45,12.76,4.03,10.67,309.73,11.25,11.08,26.31,1.6,-1.36,0.75,2.09,3.07,2.63,2.88,-0.33,1.78,0.12,3.17,1.23,-0.84,1.54,-1.1,-0.37,1.3,-0.83,1.51,0.405
Tanner Barcus,14.0,236.0,177.0,15.0,3.0,12.0,16.0,27.0,92.0,97.87,1283.0,507.0,776.0,55.93,12.0,1.0,0.0,3.0,0.0,1.0,50.00,0.0,42.0,194.0,276.0,windchill,2023.0,202.0,5.0,7.0,1.69,6.78,8.47,0.52,0.11,3.0,4.0,7.0,6.78,0.56,13.95,6.78,0.0,228.57,8.71,6.58,0.1,7.16,6.68,0.55,1.92,6.79,0.8,3.11,4.05,14.06,272.15,188.12,5.35,1.16,-0.5,2.42,0.47,-0.43,0.18,-0.39,-0.78,-0.03,-1.01,-0.28,-0.43,0.71,-0.33,1.02,1.63,-0.41,0.56,1.26,1.5,0.06
Paul Owens,12.0,254.0,168.0,19.0,13.0,6.0,16.0,24.0,194.0,95.57,1091.0,769.0,322.0,52.38,11.0,7.0,1.0,4.0,0.0,4.0,57.14,161.0,23.0,231.0,304.0,phoenix,2023.0,210.0,11.0,6.0,7.74,3.57,11.31,1.15,0.09,5.0,2.0,6.0,6.55,4.17,5.62,6.3,1463.64,266.67,11.4,6.11,0.08,6.22,6.46,1.14,7.64,3.76,4.22,5.0,2.17,6.2,298.38,222.74,1387.03,4.0,-0.28,2.42,0.27,-0.55,0.07,0.35,0.11,-0.62,-0.17,-0.79,-0.18,0.27,-1.56,1.41,2.17,5.55,0.15,2.43,1.5,-0.053
worst_avg,9.52,150.45,134.73,16.75,8.12,8.63,4.56,12.57,105.5,91.2,1398.81,691.25,707.56,47.79,6.66,7.52,0.13,1.22,0.09,2.89,,9.93,68.74,81.71,171.48,,2023.0,198.89,10.11,5.62,5.64,6.44,12.08,0.69,0.09,4.41,4.88,9.28,4.61,4.94,16.02,3.2,93.21,81.28,12.18,3.16,0.08,9.43,4.67,0.72,5.69,6.49,5.0,4.51,4.92,15.98,176.48,81.29,93.89,3.07,-0.4,-0.29,-0.53,-0.36,-0.41,-0.29,-0.32,-0.36,-0.1,-0.36,-0.25,-0.31,-0.02,-0.45,-0.03,-0.03,-0.28,-0.16,-0.51,-0.09
bad_avg,11.04,189.03,167.7,23.17,11.14,12.03,7.18,21.61,132.11,93.93,1877.46,878.36,999.11,51.57,10.26,7.33,0.16,1.42,0.05,4.09,,14.54,88.22,100.8,211.63,,2023.0,205.57,11.13,5.86,6.31,7.25,13.56,0.72,0.12,4.66,5.57,10.21,5.83,3.89,16.9,3.93,145.81,125.73,13.54,3.83,0.11,10.25,5.79,0.74,6.3,7.24,3.98,4.71,5.55,16.84,211.9,98.62,141.21,4.16,-0.05,0.34,0.1,-0.06,-0.01,-0.1,-0.05,-0.03,-0.13,-0.04,-0.07,0.17,0.11,0.11,0.25,0.19,0.06,0.22,0.2,0.05
mediocre_avg,12.19,229.77,230.32,35.65,17.29,18.35,7.55,30.9,220.81,94.76,2948.16,1311.61,1636.55,54.74,15.68,10.26,0.29,2.03,0.13,5.97,,4.58,151.06,78.71,257.81,,2023.0,209.87,11.45,6.16,7.18,7.86,15.04,0.9,0.14,5.13,6.71,11.84,6.42,4.15,14.65,3.56,49.17,122.71,14.97,3.48,0.13,11.8,6.37,0.91,7.15,7.83,4.2,5.15,6.65,14.71,255.78,77.84,51.42,5.93,0.64,0.42,0.74,0.6,0.59,0.54,0.5,0.6,0.28,0.68,0.35,0.56,-0.22,0.76,-0.07,-0.21,0.34,0.19,0.62,0.16
solid_avg,12.34,249.34,257.46,44.29,20.68,23.61,7.71,39.71,231.15,94.86,3532.17,1500.49,2031.68,55.77,19.46,10.49,0.2,1.8,0.15,7.17,,9.39,174.56,74.78,279.98,,2023.0,213.39,11.68,6.02,8.22,9.26,17.47,0.89,0.16,5.8,7.66,13.56,7.61,3.92,18.07,3.06,77.31,129.66,17.28,3.04,0.16,13.43,7.51,0.9,8.12,9.17,3.97,5.78,7.56,17.99,277.14,74.37,77.53,7.08,1.12,0.46,1.35,0.96,1.01,0.61,0.8,1.11,0.31,1.11,0.54,0.69,0.29,1.08,-0.13,-0.09,0.66,0.24,1.11,0.19
best_average,13.59,279.18,301.32,53.5,29.0,24.5,8.23,47.64,371.55,95.93,4510.14,2482.14,2028.0,56.85,27.32,12.18,0.32,1.91,0.09,8.77,,13.95,210.41,68.77,316.23,,2023.0,227.27,12.09,6.55,9.12,8.05,17.17,1.2,0.17,7.86,6.55,14.32,8.93,3.91,13.71,2.91,111.85,123.97,17.05,2.9,0.16,14.19,8.81,1.2,9.03,8.02,3.95,7.78,6.5,13.79,312.54,68.72,109.49,8.64,1.63,0.58,1.9,1.56,1.89,1.63,1.54,1.2,0.55,1.11,1.49,0.83,-0.36,1.59,-0.22,0.05,1.23,0.33,2.02,0.33
