Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,DPP_Z,MP_Z,Offensive_Value,Defensive_Value,Score,team_avg_scr
Matt Gouchoe-Hanas,6,120,141,13,4,9,1,10,262,98.13,1401,1401,0,58.87,14,4,0,0,0,3,75.00,0,105,15,134,flyers,2023,2.84,6.38,9.22,1.86,0.83,0.08,10.0,0.0,10.0,9.93,2.84,5.35,190.0,13.07,1.13,9.34,1308.88,13.4,244.72,4.13,8.87,4.07,1308.55,0.4,6.06,137.64,-0.54,-1.05,-0.59,-0.28,0.46,0.89,-0.64,-0.26,-0.54,-1.06,0.49,1.08,-1.61,-0.78,-0.94,-0.78,0.61,-0.6,0.411,0.058
William Coffin,12,191,109,14,6,8,1,10,28,84.85,825,210,615,47.71,1,4,0,1,0,2,66.67,100,16,175,191,flyers,2023,5.5,7.34,12.84,0.26,0.52,0.05,2.0,6.0,8.0,0.92,3.67,29.46,190.0,14.0,1.17,9.16,756.51,1.34,25.73,6.0,7.92,4.08,192.77,563.82,28.33,190.83,-0.49,-1.04,-0.6,-0.63,-0.96,-0.77,-0.46,-0.36,-0.53,-0.4,-0.66,-0.26,1.96,-0.03,1.46,-0.03,-0.35,-0.71,-0.387,0.058
Andrew McKelvey,10,122,81,10,2,8,4,9,15,75.0,512,77,435,58.02,2,5,0,0,1,0,0.00,1,10,112,135,flyers,2023,2.47,9.88,12.35,0.19,3.28,0.07,1.0,5.0,6.0,2.47,6.17,34.13,190.0,10.44,3.89,8.01,456.84,2.33,13.46,2.44,7.89,5.0,69.09,387.86,32.14,140.93,-0.7,-0.34,-0.68,-0.82,-0.85,-0.87,-0.81,-0.37,-0.4,-0.61,-0.78,0.97,2.65,-0.73,0.51,-0.73,-0.4,-0.12,-0.314,0.058
Kevin Pignone,7,115,79,13,9,4,0,9,112,94.92,1149,759,390,58.23,6,4,1,0,0,4,66.67,3,37,78,121,flyers,2023,11.39,5.06,16.46,1.42,0.0,0.08,10.0,5.0,15.0,7.59,5.06,10.26,190.0,13.11,0.34,7.99,1021.02,5.89,99.53,8.66,4.34,4.11,674.28,346.85,10.9,128.64,-0.54,-1.25,-0.68,-0.46,-0.43,-0.21,-0.21,-0.74,-0.53,-0.66,-0.16,1.0,-0.88,-0.9,0.0,-0.9,-0.05,-0.72,-0.093,0.058
Andrew Sjogren,12,248,300,56,15,41,4,47,243,95.67,4749,1096,3653,48.33,28,10,0,3,0,3,100.00,0,229,19,300,union,2023,5.0,13.67,18.67,0.81,1.61,0.19,4.0,12.0,16.0,9.33,3.33,19.54,181.0,54.65,3.97,45.48,4596.13,27.26,235.19,14.71,39.9,9.84,1060.81,3535.35,19.43,296.42,1.9,-0.32,1.99,1.83,2.1,0.81,0.37,3.0,0.33,3.06,0.24,-0.19,0.49,1.45,-0.88,1.45,0.95,-0.46,1.042,-0.081
Jake Steslicki,11,226,193,33,16,17,10,30,260,94.89,1890,943,947,51.3,16,11,1,2,1,1,33.33,0,93,133,274,union,2023,8.29,8.81,17.1,1.35,4.42,0.13,5.0,5.0,10.0,8.29,5.7,7.27,181.0,32.06,9.66,28.52,1797.39,15.46,247.24,15.51,16.51,10.7,896.79,900.65,7.7,269.81,0.57,1.14,0.78,0.04,0.71,0.9,0.45,0.54,0.46,-0.01,0.07,0.17,-1.33,1.08,0.83,1.08,0.39,0.61,0.507,-0.081
Jack Shanahan,11,225,282,47,27,20,7,29,252,90.32,3880,1706,2174,41.84,15,22,0,3,0,11,45.83,9,207,18,264,union,2023,9.57,7.09,16.67,0.89,3.11,0.13,6.0,8.0,14.0,5.32,7.8,15.4,181.0,45.87,6.86,28.01,3747.47,14.66,243.4,26.28,19.55,21.42,1647.75,2099.75,15.42,261.43,1.38,0.42,0.74,1.29,0.61,0.88,1.48,0.86,2.06,1.39,0.84,-0.97,-0.12,0.96,-0.9,0.96,-0.47,0.13,-0.495,-0.081
Jace Bruner,13,217,135,16,3,13,15,26,84,94.38,873,377,496,52.59,7,4,0,1,0,2,100.00,2,5,212,274,union,2023,2.22,9.63,11.85,0.62,6.91,0.12,3.0,4.0,6.0,5.19,2.96,10.39,181.0,15.86,14.17,24.21,813.48,6.86,78.28,3.21,12.59,4.07,351.34,462.21,10.78,268.14,-0.38,2.29,0.47,-0.6,-0.31,-0.38,-0.73,0.13,-0.54,-0.52,-0.49,0.32,-0.86,1.05,2.01,1.05,0.13,1.41,0.317,-0.081
Benjamin Preiss,11,217,221,39,21,18,4,25,189,91.75,2902,1229,1673,47.51,8,14,0,4,0,6,50.00,0,136,81,252,union,2023,9.5,8.14,17.65,0.86,1.84,0.12,6.0,8.0,13.0,3.62,6.33,15.35,181.0,37.92,3.96,23.92,2776.81,7.87,180.86,20.35,17.52,13.61,1176.01,1600.84,15.38,249.27,0.92,-0.32,0.45,0.66,-0.19,0.4,0.91,0.64,0.89,0.8,0.35,-0.29,-0.13,0.79,0.05,0.79,-0.31,-0.35,-0.371,-0.081
Jesse Johnson,11,181,171,23,5,18,6,24,97,97.0,1441,197,1244,47.95,6,2,0,3,0,1,100.00,1,105,76,214,union,2023,2.92,10.53,13.45,0.57,3.31,0.13,1.0,7.0,8.0,3.51,1.17,14.86,181.0,22.5,5.83,22.67,1361.94,5.94,91.7,5.06,17.39,2.17,186.39,1175.6,14.92,212.62,0.01,0.16,0.36,-0.24,-0.42,-0.27,-0.55,0.63,-0.82,0.31,-0.66,-0.23,-0.2,0.28,-0.03,0.28,0.11,0.06,0.114,-0.081
Didzis Malderis,12,170,107,17,6,11,6,19,56,91.8,808,341,467,55.14,3,3,0,1,0,0,--,12,17,153,210,union,2023,5.61,10.28,15.89,0.52,3.53,0.11,3.0,4.0,8.0,2.8,2.8,14.43,181.0,16.74,5.74,17.38,739.79,3.17,51.3,6.0,10.66,3.17,312.28,427.6,14.56,208.21,-0.33,0.13,-0.02,-0.64,-0.75,-0.58,-0.46,-0.08,-0.67,-0.56,-0.53,0.63,-0.27,0.21,1.13,0.21,0.0,0.05,0.005,-0.081
Asher Lantz,9,161,111,7,3,4,11,15,35,94.59,523,93,430,39.64,3,2,0,1,0,0,--,4,25,136,189,union,2023,2.7,3.6,6.31,0.32,6.83,0.09,1.0,4.0,5.0,2.7,1.8,14.94,181.0,7.58,10.34,13.76,480.6,3.17,32.19,3.25,4.25,2.25,85.73,394.96,15.03,189.0,-0.87,1.31,-0.27,-0.81,-0.75,-0.72,-0.73,-0.75,-0.81,-0.6,-0.77,-1.23,-0.19,-0.06,0.87,-0.06,-0.29,0.91,-0.174,-0.081
Nico Lake,10,174,238,24,18,6,2,15,328,96.19,2647,2136,511,41.18,7,7,0,4,0,3,60.00,0,174,0,214,union,2023,7.56,2.52,10.08,1.38,1.15,0.09,9.0,2.0,11.0,2.94,2.94,8.07,181.0,23.6,2.04,14.4,2540.67,6.92,314.81,17.52,6.04,6.92,2050.07,490.64,8.39,212.99,0.08,-0.81,-0.23,0.51,-0.3,1.42,0.64,-0.56,-0.11,-0.49,1.25,-1.05,-1.21,0.28,-1.16,0.28,0.13,-0.61,0.061,-0.081
Ross Barker,6,129,162,22,13,9,5,15,129,90.85,2160,934,1226,40.12,10,9,0,3,0,4,40.00,0,116,13,157,union,2023,8.02,5.56,13.58,0.8,3.88,0.12,6.0,8.0,13.0,6.17,5.56,16.74,181.0,21.53,4.88,14.13,2035.0,9.71,121.56,12.59,8.88,8.77,879.99,1155.07,16.7,158.86,-0.05,-0.09,-0.25,0.19,0.03,-0.05,0.17,-0.26,0.17,0.29,0.05,-1.17,0.08,-0.48,-0.97,-0.48,-0.23,0.02,-0.191,-0.081
Charlie Furse,8,95,67,7,3,4,4,10,44,93.62,416,205,211,50.75,3,1,0,0,0,0,--,12,6,89,107,union,2023,4.48,5.97,10.45,0.66,4.21,0.11,3.0,3.0,6.0,4.48,1.49,9.45,181.0,7.91,3.87,8.7,363.27,3.26,38.42,3.39,4.39,1.52,179.03,184.38,10.3,117.65,-0.85,-0.34,-0.63,-0.88,-0.74,-0.68,-0.71,-0.73,-0.92,-0.84,-0.67,0.1,-1.0,-1.06,0.17,-1.06,-0.11,-0.06,-0.081,-0.081
Nick Pappas,8,122,75,11,6,5,5,10,43,89.58,783,263,520,44.0,2,4,0,2,0,1,100.00,1,17,105,140,union,2023,8.0,6.67,14.67,0.57,4.1,0.08,4.0,7.0,10.0,2.67,5.33,18.21,181.0,11.35,4.76,8.82,692.06,2.35,38.06,6.0,5.24,4.12,232.65,459.53,17.95,145.76,-0.64,-0.12,-0.63,-0.67,-0.84,-0.68,-0.46,-0.64,-0.53,-0.52,-0.62,-0.71,0.29,-0.66,0.41,-0.66,-0.36,0.03,-0.282,-0.081
Jerry Kelly,9,87,54,5,4,1,5,9,50,98.04,273,252,21,40.74,3,1,0,0,0,0,--,4,9,78,96,union,2023,7.41,1.85,9.26,0.93,5.75,0.1,5.0,0.0,5.0,5.56,1.85,5.46,181.0,6.41,4.69,7.59,231.91,3.31,42.34,4.31,1.94,1.62,213.41,18.66,7.11,110.53,-0.93,-0.13,-0.71,-0.97,-0.73,-0.65,-0.63,-0.99,-0.9,-1.04,-0.64,-1.1,-1.59,-1.16,0.0,-1.16,-0.12,0.1,-0.071,-0.081
Luke Brennan,9,129,90,13,10,3,7,9,84,88.42,1072,823,249,40.0,4,10,0,1,1,6,66.67,53,15,114,154,union,2023,11.11,3.33,14.44,0.93,5.43,0.07,9.0,3.0,12.0,4.44,11.11,12.76,181.0,13.1,6.6,8.1,965.8,4.1,75.7,9.6,3.4,9.5,741.2,224.7,13.08,157.5,-0.54,0.35,-0.68,-0.5,-0.64,-0.4,-0.12,-0.84,0.28,-0.8,-0.09,-1.19,-0.51,-0.5,0.54,-0.5,-0.5,0.32,-0.386,-0.081
Dex Dremann,10,150,115,15,10,5,7,8,123,91.79,1187,812,375,52.17,9,11,0,3,0,4,66.67,104,24,126,186,union,2023,8.7,4.35,13.04,1.07,4.67,0.05,7.0,3.0,10.0,7.83,9.57,9.65,181.0,14.92,6.68,7.36,1092.84,8.68,113.24,9.68,5.16,10.52,747.44,345.48,10.16,186.24,-0.43,0.37,-0.73,-0.42,-0.1,-0.11,-0.11,-0.65,0.43,-0.66,-0.09,0.27,-0.97,-0.09,0.72,-0.09,-0.32,0.27,-0.265,-0.081
Axel Agami,3,47,38,7,4,3,2,6,48,92.31,417,173,244,52.63,3,3,0,0,0,0,0.00,0,7,40,65,union,2023,10.53,7.89,18.42,1.26,4.26,0.13,5.0,6.0,11.0,7.89,7.89,8.69,181.0,8.46,2.21,4.75,332.21,3.42,38.21,4.42,3.83,3.42,138.0,194.42,10.21,90.83,-0.81,-0.77,-0.92,-0.9,-0.72,-0.68,-0.62,-0.79,-0.63,-0.83,-0.71,0.33,-1.12,-1.43,-0.57,-1.43,-0.26,-0.3,-0.158,-0.081
Paul Arters,7,152,192,24,14,10,1,5,208,91.23,2378,1561,817,47.4,12,16,0,4,0,8,47.06,1,151,1,182,union,2023,7.29,5.21,12.5,1.08,0.66,0.03,8.0,4.0,12.0,6.25,8.33,11.43,181.0,23.5,1.1,4.75,2260.77,11.65,197.75,13.6,9.85,15.46,1483.97,776.85,11.66,182.35,0.07,-1.05,-0.92,0.33,0.26,0.53,0.26,-0.16,1.17,-0.15,0.67,-0.3,-0.71,-0.15,-1.15,-0.15,-0.35,-0.7,-0.386,-0.081
Wyatt Mekler,7,119,149,12,7,5,3,5,186,94.9,1501,864,637,44.3,9,8,0,2,1,2,66.67,0,119,0,156,union,2023,4.7,3.36,8.05,1.25,2.52,0.04,6.0,4.0,10.0,6.04,5.37,8.07,181.0,12.13,3.0,4.69,1407.23,8.75,174.36,6.94,5.13,7.81,809.97,597.31,8.57,158.08,-0.6,-0.57,-0.92,-0.21,-0.09,0.35,-0.37,-0.66,0.02,-0.36,-0.02,-0.67,-1.21,-0.49,-1.16,-0.49,-0.34,-0.31,-0.313,-0.081
Christian Johnson,4,80,109,11,5,6,2,4,53,84.13,1166,446,720,33.03,4,6,0,3,0,1,33.33,0,76,4,94,union,2023,4.59,5.5,10.09,0.49,2.5,0.05,4.0,7.0,11.0,3.67,5.5,22.0,181.0,11.25,2.08,3.66,1068.86,4.08,48.63,5.08,6.08,5.92,408.94,660.0,21.5,101.98,-0.65,-0.8,-0.99,-0.43,-0.64,-0.6,-0.55,-0.56,-0.26,-0.29,-0.44,-2.02,0.86,-1.28,-1.11,-1.28,-0.47,-0.34,-0.329,-0.081
John Jones,9,72,40,2,0,2,2,4,13,92.86,155,66,89,52.5,1,0,0,0,0,0,--,0,0,72,94,union,2023,0.0,5.0,5.0,0.32,2.78,0.06,2.0,2.0,4.0,2.5,0.0,11.92,181.0,4.4,2.2,3.2,126.0,1.8,10.6,1.2,3.0,1.0,53.8,72.4,12.74,113.0,-1.05,-0.77,-1.03,-1.04,-0.91,-0.89,-0.92,-0.88,-0.99,-0.98,-0.8,0.31,-0.64,-1.12,-0.09,-1.12,-0.23,-0.35,-0.174,-0.081
Quinn Finer,13,299,352,64,35,29,3,47,403,95.05,5961,2720,3241,55.68,35,16,0,4,0,24,77.42,0,266,33,330,apex,2023,9.94,8.24,18.18,1.14,1.0,0.16,8.0,9.0,17.0,9.94,4.55,14.79,196.0,62.62,3.0,45.7,5796.61,34.17,391.9,34.2,28.39,15.7,2645.0,3151.64,14.82,326.1,2.37,-0.57,2.0,2.6,2.92,2.0,2.24,1.79,1.2,2.61,1.87,0.69,-0.21,1.87,-0.67,1.87,1.28,-0.7,1.404,0.158
Jay Froude,13,267,313,44,19,25,10,39,218,94.78,3671,1079,2592,55.27,23,11,0,4,0,5,50.00,0,252,15,276,apex,2023,6.07,7.99,14.06,0.7,3.75,0.15,3.0,8.0,12.0,7.35,3.51,16.84,196.0,43.07,9.78,37.79,3557.66,22.44,211.28,18.6,24.44,10.81,1045.75,2511.94,16.81,273.31,1.22,1.17,1.44,1.17,1.53,0.63,0.74,1.37,0.47,1.87,0.22,0.64,0.09,1.13,-0.94,1.13,0.52,0.62,0.629,0.158
Alex Atkins,10,220,249,51,25,26,8,38,439,95.02,5164,2952,2212,55.82,22,20,0,1,0,20,68.97,9,201,19,242,apex,2023,10.04,10.44,20.48,1.76,3.64,0.17,12.0,9.0,21.0,8.84,8.03,11.76,196.0,49.57,7.81,36.53,4965.0,21.34,422.09,24.27,25.27,19.42,2838.22,2126.83,11.92,239.95,1.6,0.66,1.35,2.07,1.4,2.23,1.29,1.46,1.76,1.42,2.06,0.71,-0.66,0.66,-0.88,0.66,0.31,0.35,0.349,0.158
Noah Coolman,13,178,117,28,12,16,12,32,101,92.66,1718,750,968,56.41,6,8,0,0,0,3,75.00,0,8,170,224,apex,2023,10.26,13.68,23.93,0.86,6.74,0.18,6.0,8.0,15.0,5.13,6.84,17.01,196.0,26.9,11.29,29.48,1583.51,5.92,93.13,11.53,15.29,7.76,691.34,892.25,16.93,221.24,0.27,1.55,0.85,-0.1,-0.42,-0.26,0.07,0.41,0.02,-0.02,-0.14,0.78,0.12,0.4,1.38,0.4,-0.01,1.0,0.097,0.158
Cody Spicer,10,247,173,32,25,7,11,31,249,95.04,2167,1677,490,56.07,21,12,0,0,0,7,77.78,0,45,202,285,apex,2023,14.45,4.05,18.5,1.44,4.45,0.13,10.0,3.0,13.0,12.14,6.94,8.7,196.0,31.02,10.56,29.31,2049.13,20.13,235.45,23.96,7.0,11.62,1585.63,463.55,9.1,279.75,0.51,1.37,0.83,0.2,1.26,0.82,1.26,-0.46,0.59,-0.52,0.78,0.74,-1.11,1.22,1.86,1.22,0.74,0.74,0.892,0.158
Matt Jackson,13,255,292,37,23,14,3,30,295,95.78,2955,1483,1472,57.19,25,10,0,0,0,6,46.15,0,221,34,290,apex,2023,7.88,4.79,12.67,1.01,1.18,0.12,5.0,5.0,10.0,8.56,3.42,10.02,196.0,36.24,3.0,29.01,2857.48,24.34,285.26,22.44,13.77,9.83,1434.06,1423.46,10.22,286.66,0.82,-0.57,0.81,0.72,1.76,1.19,1.11,0.25,0.33,0.6,0.62,0.88,-0.92,1.31,-0.66,1.31,0.86,-0.61,0.867,0.158
Jonathan Nethercutt,7,138,170,40,37,3,3,19,280,91.21,3206,2563,643,52.35,12,24,1,0,1,17,56.67,0,131,7,153,apex,2023,21.76,1.76,23.53,1.65,2.17,0.14,15.0,4.0,19.0,7.06,14.12,11.45,196.0,38.56,3.0,17.94,3028.44,11.61,264.5,35.28,3.22,22.94,2420.89,607.61,11.7,155.0,0.96,-0.57,0.02,0.83,0.25,1.04,2.34,-0.86,2.29,-0.35,1.64,0.29,-0.71,-0.53,-1.06,-0.53,-0.41,-0.31,-0.353,0.158
Seth Faris,12,147,90,15,3,12,7,19,49,94.23,795,79,716,51.11,4,3,0,0,0,2,66.67,125,15,132,169,apex,2023,3.33,13.33,16.67,0.54,4.76,0.13,1.0,8.0,9.0,4.44,3.33,16.22,196.0,14.9,6.6,17.1,716.5,4.1,44.2,3.3,11.5,3.2,71.6,645.0,16.2,171.0,-0.44,0.35,-0.04,-0.66,-0.64,-0.63,-0.72,0.01,-0.67,-0.31,-0.78,0.15,-0.0,-0.31,0.81,-0.31,-0.12,0.29,-0.073,0.158
Alex Tatum,9,145,109,22,9,13,4,18,118,92.91,1870,768,1102,51.38,6,7,0,1,0,6,75.00,0,11,134,185,apex,2023,8.26,11.93,20.18,1.08,2.76,0.12,7.0,10.0,17.0,5.5,6.42,15.85,196.0,21.33,3.92,16.49,1713.7,5.92,108.17,8.75,12.5,6.83,703.88,1009.9,15.86,185.34,-0.06,-0.33,-0.08,-0.02,-0.42,-0.15,-0.2,0.12,-0.12,0.12,-0.13,0.18,-0.06,-0.11,0.84,-0.11,-0.21,-0.21,-0.204,0.158
Calvin Stoughton,4,98,113,21,7,14,1,17,78,93.98,1463,378,1085,61.06,5,4,1,1,0,2,100.00,0,94,4,103,apex,2023,6.19,12.39,18.58,0.69,1.02,0.17,3.0,10.0,13.0,4.42,3.54,18.76,196.0,20.43,1.16,15.62,1344.87,5.0,71.74,6.92,13.43,4.08,347.67,997.28,18.54,109.99,-0.11,-1.04,-0.14,-0.25,-0.53,-0.43,-0.38,0.22,-0.53,0.1,-0.5,1.34,0.38,-1.16,-1.11,-1.16,-0.08,-0.53,-0.091,0.158
Justin Abel,13,198,158,20,10,10,6,17,121,93.08,1335,800,535,56.33,8,9,0,0,0,2,40.00,46,40,158,254,apex,2023,6.33,6.33,12.66,0.77,3.03,0.09,5.0,3.0,8.0,5.06,5.7,11.03,196.0,19.64,5.82,15.99,1256.13,7.82,113.86,9.76,9.82,8.76,752.68,503.51,11.33,250.13,-0.16,0.15,-0.11,-0.31,-0.2,-0.11,-0.1,-0.16,0.17,-0.47,-0.08,0.77,-0.77,0.8,1.2,0.8,-0.1,-0.03,-0.106,0.158
Sam Goldstein,13,221,256,29,14,15,0,17,385,97.22,3156,2613,543,55.08,20,11,0,1,0,3,42.86,0,199,22,231,apex,2023,5.47,5.86,11.33,1.5,0.0,0.08,10.0,2.0,12.0,7.81,4.3,8.2,196.0,28.44,0.11,16.36,3037.73,19.44,370.56,13.7,14.7,10.77,2514.95,522.81,8.49,229.42,0.36,-1.31,-0.09,0.83,1.18,1.84,0.27,0.35,0.47,-0.45,1.73,0.62,-1.19,0.51,-0.84,0.51,0.83,-0.99,0.703,0.158
Thomas Brewster,9,141,152,19,7,12,3,17,72,94.74,1058,310,748,52.63,4,3,0,2,0,0,0.00,0,99,42,152,apex,2023,4.61,7.89,12.5,0.47,2.13,0.12,2.0,5.0,7.0,2.63,1.97,14.69,196.0,18.69,3.0,15.95,993.31,4.06,67.62,6.94,11.69,3.12,291.17,702.2,14.77,154.28,-0.21,-0.57,-0.12,-0.48,-0.64,-0.46,-0.37,0.03,-0.68,-0.24,-0.56,0.33,-0.23,-0.54,-0.54,-0.54,-0.01,-0.31,-0.035,0.158
