Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
Brandon Pastor,11,198,245,35,6,29,2,32,154,98.09,1694,410,1284,55.1,7,3,0,2,0,1,100.00,0,195,3,236,phoenix,2025,179.0,0.58,0.11,0.51,43.5,0.23,3.26,0.24,0.34,0.17,19.18,24.34,0.72,-0.81,0.94,-0.09,-0.31,0.18,-0.45,1.86,-0.62,0.4,-0.47,0.52,0.25,0.287
Nate Little,12,231,143,24,13,11,16,32,70,88.61,1626,620,1006,53.15,7,7,0,1,0,5,71.43,0,47,184,241,phoenix,2025,179.0,0.91,0.28,0.86,73.01,0.39,4.93,0.46,0.45,0.32,33.82,39.23,0.1,2.46,0.94,-0.13,-0.31,-0.5,0.19,-0.03,-0.08,0.06,-0.26,0.31,0.05,0.058
Sam Grossberg,9,194,223,41,21,20,2,30,422,96.13,4392,3027,1365,56.05,21,12,0,1,0,7,53.85,0,185,9,219,phoenix,2025,179.0,0.66,0.12,0.55,59.53,0.31,4.75,0.33,0.33,0.23,32.51,27.04,1.06,-0.81,0.8,1.63,1.31,2.33,0.91,0.91,0.6,0.5,2.16,0.62,0.67,0.741
Jack Wisner,11,193,113,14,3,11,13,22,36,92.31,668,80,588,53.1,1,3,0,2,0,1,100.00,0,26,167,214,phoenix,2025,179.0,1.05,0.32,0.99,83.46,0.43,5.9,0.49,0.56,0.36,37.84,45.66,-0.47,1.76,0.23,-0.74,-1.0,-0.77,-0.72,-0.03,-0.62,-0.46,-0.8,0.31,-0.29,-0.317
Michael Maroon,7,107,119,23,6,17,2,21,62,93.94,1073,49,1024,52.1,7,4,0,0,0,0,--,0,96,11,124,phoenix,2025,179.0,1.07,0.22,0.94,82.69,0.46,5.82,0.49,0.58,0.35,35.76,46.97,0.04,-0.81,0.16,-0.49,-0.31,-0.56,-0.45,0.6,-0.49,0.08,-0.83,0.2,0.02,0.017
Paul Owens,11,215,127,17,11,6,9,21,132,95.65,1255,827,428,51.18,5,5,0,0,0,4,57.14,38,29,186,250,phoenix,2025,179.0,0.96,0.26,0.88,79.05,0.42,6.0,0.5,0.46,0.34,39.48,39.61,-0.3,0.83,0.16,-0.37,-0.54,0.0,0.01,-0.55,-0.35,-0.65,-0.05,0.11,-0.13,-0.154
Max Tran,8,114,67,11,5,6,6,15,35,97.22,681,373,308,52.24,3,1,0,1,0,3,100.00,0,15,99,133,phoenix,2025,179.0,1.68,0.43,1.53,136.96,0.74,9.65,0.83,0.85,0.57,66.08,70.94,-0.64,0.13,-0.27,-0.74,-0.77,-0.78,-0.54,-0.55,-0.9,-0.8,-0.51,0.22,0.04,0.034
Colin White,11,148,158,13,1,12,3,13,81,98.78,1319,460,859,54.43,10,1,0,2,0,0,--,0,116,32,183,phoenix,2025,179.0,0.75,0.17,0.66,64.41,0.37,4.55,0.34,0.41,0.25,29.72,34.72,-0.52,-0.57,-0.41,-0.33,0.04,-0.41,-0.9,0.08,-0.9,-0.12,-0.42,0.45,0.29,0.293
Chase Rawlins,10,124,82,11,6,5,4,11,34,87.18,921,149,772,45.12,3,3,0,1,0,0,0.00,4,36,88,136,phoenix,2025,179.0,1.39,0.33,1.22,116.1,0.61,7.98,0.7,0.69,0.49,52.11,64.05,-0.64,-0.34,-0.55,-0.58,-0.77,-0.79,-0.45,-0.66,-0.62,-0.23,-0.73,-0.53,-0.21,-0.183
Ethan Holmgren,11,181,108,14,6,8,1,11,105,94.59,952,580,372,52.78,12,4,0,0,0,0,0.00,107,20,161,214,phoenix,2025,179.0,1.1,0.23,0.94,89.66,0.55,6.77,0.54,0.56,0.39,43.94,45.77,-0.47,-1.04,-0.55,-0.56,0.27,-0.22,-0.45,-0.34,-0.49,-0.72,-0.3,0.27,0.15,0.164
Adam Grossberg,8,161,122,22,17,5,7,10,111,87.4,1690,970,720,47.54,10,15,0,4,0,7,46.67,11,58,103,189,phoenix,2025,179.0,1.04,0.25,0.83,85.59,0.47,6.07,0.57,0.47,0.43,42.17,43.46,-0.01,0.36,-0.62,-0.09,0.04,-0.17,0.55,-0.66,1.01,-0.29,0.09,-0.28,-0.48,-0.493
Matt Hanna,10,188,222,18,5,13,3,8,138,93.24,2605,559,2046,52.25,12,9,0,4,0,1,33.33,0,180,8,210,phoenix,2025,179.0,0.56,0.12,0.45,51.92,0.27,3.52,0.26,0.3,0.22,21.78,30.16,-0.24,-0.57,-0.76,0.49,0.27,0.05,-0.54,0.18,0.19,1.33,-0.32,0.22,-0.29,-0.314
Eric Nardelli,11,112,67,4,0,4,6,7,33,94.29,249,83,166,44.78,1,2,0,1,0,0,--,0,11,101,138,phoenix,2025,179.0,1.58,0.43,1.42,130.96,0.71,9.62,0.76,0.82,0.58,62.06,68.97,-1.03,0.13,-0.83,-1.01,-1.0,-0.79,-0.99,-0.76,-0.76,-0.97,-0.8,-0.57,-0.43,-0.378
Eric Witmer,10,154,91,3,3,0,8,7,59,95.16,459,324,135,49.45,5,3,0,1,0,0,--,0,17,137,188,phoenix,2025,179.0,1.18,0.34,1.06,100.41,0.57,7.49,0.6,0.57,0.45,49.05,51.41,-1.09,0.59,-0.83,-0.88,-0.54,-0.59,-0.72,-1.18,-0.62,-1.01,-0.56,-0.08,-0.32,-0.328
