Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,SCR_Z,BLK_Z,PM_Z,Y/CMP_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,Offensive_Value,Score
Beckett Sessums,7,104,76,16,7,9,2,11,31,86.11,832,247,585,52.63,5,4,0,3,0,2,66.67,0,19,85,107,steel,2025,163.0,1.56,0.33,1.31,123.6,0.68,8.53,0.77,0.79,0.54,57.19,66.48,-0.35,-0.81,-0.55,-0.64,-0.54,-0.81,-0.36,-0.24,-0.49,-0.46,-0.63,0.26,-0.04,-0.032
Antonio Rueda,12,239,310,24,9,15,6,10,313,93.71,2673,1225,1448,39.35,16,16,0,4,0,1,100.00,0,226,13,294,steel,2025,163.0,0.43,0.1,0.33,37.63,0.21,3.09,0.2,0.22,0.18,17.81,19.83,0.1,0.13,-0.62,0.53,0.73,1.45,-0.17,0.39,1.15,0.6,0.35,-1.14,-0.78,-1.048
Josh Moore,6,97,124,21,13,8,2,10,132,91.67,1919,769,1150,40.32,5,10,0,3,0,2,40.00,0,93,4,116,steel,2025,163.0,1.02,0.21,0.81,86.04,0.43,6.14,0.53,0.49,0.39,39.95,46.12,-0.07,-0.81,-0.62,0.05,-0.54,0.0,0.19,-0.34,0.33,0.23,-0.11,-1.04,-0.48,-0.405
Jackson Heglie,6,76,47,11,2,9,1,9,21,91.3,447,74,373,40.43,1,2,0,1,0,0,--,0,16,60,77,steel,2025,163.0,2.33,0.5,2.0,185.13,0.98,13.1,1.1,1.23,0.81,85.75,99.48,-0.64,-1.04,-0.69,-0.89,-1.0,-0.89,-0.81,-0.24,-0.76,-0.72,-0.81,-1.03,-0.24,-0.165
Adam McNichols,10,209,264,29,26,3,6,7,284,91.32,3520,1836,1684,38.26,19,23,1,5,0,14,50.00,0,202,7,238,steel,2025,163.0,0.52,0.12,0.38,47.21,0.26,3.51,0.3,0.22,0.23,23.13,24.1,0.38,0.13,-0.83,1.07,1.07,1.22,1.36,-0.87,2.1,0.89,0.96,-1.26,-0.69,-0.834
Callahan Bosworth,7,119,104,13,4,9,2,7,78,95.12,1452,482,970,42.31,7,4,2,4,0,2,100.00,3,64,55,107,steel,2025,163.0,1.13,0.25,0.94,97.54,0.52,6.77,0.54,0.59,0.4,44.65,52.94,-0.52,-0.81,-0.83,-0.24,-0.31,-0.43,-0.63,-0.24,-0.49,0.01,-0.4,-0.83,-0.07,-0.057
Conner Stillwell,11,168,205,21,13,8,3,7,142,89.87,2692,800,1892,38.54,12,13,0,4,0,3,100.00,0,162,6,190,steel,2025,163.0,0.62,0.13,0.49,56.53,0.3,3.82,0.32,0.3,0.25,24.69,31.87,-0.07,-0.57,-0.83,0.55,0.27,0.08,0.19,-0.34,0.74,1.14,-0.08,-1.23,-0.43,-0.464
Nicholas Dahms,12,158,112,3,1,2,5,7,39,92.86,347,121,226,35.71,3,0,0,1,0,0,--,0,18,140,189,steel,2025,163.0,0.97,0.26,0.87,81.43,0.45,5.97,0.48,0.49,0.34,38.51,42.96,-1.09,-0.11,-0.83,-0.95,-0.77,-0.75,-0.9,-0.97,-1.03,-0.9,-0.76,-1.53,-0.19,-0.205
Jonathan Lee,4,39,33,5,3,2,0,5,18,94.74,220,127,93,54.55,1,0,0,0,0,0,--,0,11,28,44,steel,2025,163.0,3.03,0.66,2.63,247.37,1.34,17.84,1.53,1.5,1.05,118.74,128.76,-0.98,-1.27,-0.98,-1.03,-1.0,-0.91,-0.72,-0.97,-1.03,-1.06,-0.75,0.46,-0.16,-0.083
Will Dillender-Kinast,4,61,41,2,0,2,6,4,11,84.62,200,83,117,43.9,2,2,0,2,0,0,--,0,9,52,67,steel,2025,163.0,2.43,0.67,2.15,203.91,1.13,14.59,1.2,1.24,0.91,97.13,106.89,-1.15,0.13,-1.05,-1.04,-0.89,-0.97,-0.99,-0.97,-0.76,-1.03,-0.8,-0.66,-0.37,-0.237
Dan Baumgartner,8,59,32,1,1,0,2,3,11,100.0,186,67,119,31.25,1,0,0,0,0,0,--,0,5,54,62,steel,2025,163.0,3.0,0.73,2.65,253.14,1.38,18.14,1.51,1.49,1.08,120.32,132.95,-1.2,-0.81,-1.12,-1.05,-1.0,-0.97,-0.9,-1.18,-1.03,-1.03,-0.81,-2.0,-0.27,-0.167
Emmett Warner,5,80,50,7,6,1,1,3,60,93.75,630,427,203,46.0,2,4,0,1,0,3,42.86,15,24,56,92,steel,2025,163.0,2.13,0.47,1.78,178.36,0.95,13.09,1.11,1.02,0.8,87.49,90.96,-0.86,-1.04,-1.12,-0.77,-0.89,-0.58,-0.45,-1.08,-0.49,-0.93,-0.45,-0.44,-0.39,-0.293
Sam Harrington,2,15,7,2,0,2,0,2,1,100.0,141,17,124,57.14,1,0,0,0,0,0,--,0,1,14,14,steel,2025,163.0,9.33,2.08,8.08,776.75,4.25,55.08,4.58,4.75,3.33,366.83,410.33,-1.15,-1.27,-1.19,-1.08,-1.0,-1.05,-0.99,-0.97,-1.03,-1.02,-0.86,0.73,-0.24,-0.07
Ryan Wolfe,12,177,127,10,5,5,4,1,53,84.13,891,340,551,37.01,3,9,0,4,0,4,57.14,1,29,148,202,steel,2025,163.0,0.91,0.22,0.73,76.3,0.4,5.4,0.45,0.45,0.37,35.8,40.54,-0.69,-0.34,-1.26,-0.6,-0.77,-0.63,-0.54,-0.66,0.19,-0.5,-0.54,-1.39,-0.72,-0.802
Jordan Kerr,14,276,332,70,50,20,5,60,285,94.68,4849,2674,2175,61.45,23,12,0,3,0,15,75.00,0,271,5,274,shred,2025,214.0,0.53,0.09,0.46,41.63,0.22,2.8,0.31,0.22,0.15,20.95,20.7,2.71,-0.11,2.93,1.92,1.54,1.23,3.52,0.91,0.6,1.49,1.81,1.19,1.82,2.059
Chad Yorgason,13,312,342,74,44,30,4,53,277,92.33,6600,3054,3546,60.23,32,22,0,3,0,26,81.25,0,260,52,319,shred,2025,214.0,0.53,0.08,0.43,45.48,0.24,2.7,0.29,0.24,0.18,21.44,24.05,2.93,-0.34,2.43,3.03,2.58,1.16,2.98,1.96,1.96,3.17,2.19,1.06,1.63,1.99
Matt Russnogle,13,253,299,54,9,45,2,50,111,95.69,2641,340,2301,60.54,13,5,1,1,0,2,40.00,0,246,7,247,shred,2025,214.0,0.54,0.09,0.48,38.88,0.21,2.54,0.21,0.33,0.15,15.54,23.36,1.8,-0.81,2.22,0.51,0.38,-0.17,-0.17,3.54,-0.35,1.64,-0.54,1.09,0.89,0.956
Jace Duennebeil,14,240,258,54,16,38,5,46,89,91.75,3243,784,2459,63.57,7,7,0,6,0,7,87.50,0,199,41,232,shred,2025,214.0,0.62,0.11,0.54,47.24,0.22,2.85,0.27,0.35,0.18,19.65,27.6,1.8,-0.11,1.93,0.9,-0.31,-0.34,0.46,2.8,-0.08,1.84,-0.09,1.41,0.75,0.781
Will Selfridge,9,227,252,54,24,30,6,43,217,91.95,3908,1676,2232,60.71,17,16,0,1,0,11,61.11,0,191,36,234,shred,2025,214.0,0.64,0.12,0.54,50.93,0.26,3.41,0.31,0.33,0.22,23.58,27.36,1.8,0.13,1.72,1.32,0.84,0.68,1.18,1.96,1.15,1.56,0.8,1.11,0.48,0.502
McKay Yorgason,14,309,359,51,44,7,5,32,617,95.81,6320,4742,1578,61.56,54,22,1,2,0,8,80.00,0,279,30,313,shred,2025,214.0,0.44,0.08,0.35,42.58,0.29,3.51,0.27,0.17,0.17,25.07,17.52,1.63,-0.11,0.94,2.86,5.11,3.89,2.98,-0.45,1.96,0.76,3.89,1.2,1.84,2.225
Alex Forsberg,13,184,107,17,3,14,15,29,39,90.7,737,153,584,57.94,5,2,0,1,0,1,50.00,0,4,180,197,shred,2025,214.0,1.13,0.36,1.11,88.54,0.49,6.24,0.52,0.62,0.38,40.52,48.07,-0.3,2.23,0.73,-0.7,-0.54,-0.75,-0.72,0.29,-0.76,-0.46,-0.73,0.82,0.07,0.067
Jacob Miller,13,244,293,32,14,18,0,27,310,98.73,3177,1639,1538,62.12,32,3,0,2,0,4,100.00,0,243,1,245,shred,2025,214.0,0.48,0.08,0.41,41.47,0.28,3.26,0.23,0.24,0.14,20.21,21.27,0.55,-1.27,0.59,0.85,2.58,1.43,0.28,0.7,-0.62,0.71,0.77,1.26,1.44,1.541
Kimball Pew,13,151,95,16,7,9,11,25,62,96.88,994,573,421,61.05,6,2,0,0,0,4,100.00,0,4,147,175,shred,2025,214.0,1.26,0.36,1.2,101.74,0.56,7.22,0.62,0.64,0.42,49.58,52.21,-0.35,1.29,0.44,-0.54,-0.43,-0.56,-0.36,-0.24,-0.76,-0.66,-0.31,1.15,0.22,0.199
Kyle Weinberg,12,222,139,19,6,13,11,23,76,92.68,866,501,365,54.68,7,6,0,1,0,2,50.00,146,24,198,233,shred,2025,214.0,0.9,0.25,0.82,69.76,0.4,5.11,0.42,0.47,0.32,33.93,35.87,-0.18,1.29,0.3,-0.62,-0.31,-0.45,-0.45,0.18,-0.21,-0.73,-0.38,0.48,-0.09,-0.094
Sam Pew,13,233,130,16,8,8,11,23,73,94.81,988,309,679,58.46,6,4,0,0,0,1,33.33,0,7,226,235,shred,2025,214.0,0.93,0.27,0.87,75.32,0.41,5.43,0.47,0.47,0.33,34.77,40.59,-0.35,1.29,0.3,-0.54,-0.43,-0.47,-0.27,-0.34,-0.49,-0.34,-0.57,0.87,-0.09,-0.094
Tony Mounga,12,178,110,24,14,10,10,22,61,84.72,1184,739,445,56.36,4,11,0,1,0,6,60.00,1,5,173,203,shred,2025,214.0,1.17,0.3,1.02,90.12,0.47,6.27,0.6,0.57,0.44,44.56,45.61,0.1,1.06,0.23,-0.42,-0.66,-0.57,0.28,-0.13,0.47,-0.63,-0.14,0.65,-0.34,-0.331
Braden Eberhard,13,251,303,31,8,23,2,20,388,96.04,3642,2305,1337,62.38,27,12,1,1,0,3,50.00,0,251,0,252,shred,2025,214.0,0.46,0.09,0.37,41.63,0.25,3.4,0.2,0.25,0.17,21.72,19.93,0.5,-0.81,0.09,1.15,2.0,2.05,-0.27,1.23,0.6,0.46,1.44,1.29,0.45,0.488
Reed Browning,12,186,119,21,12,9,8,19,53,84.13,1311,479,832,53.78,9,10,0,0,0,4,66.67,0,4,182,221,shred,2025,214.0,1.06,0.27,0.92,84.6,0.48,5.75,0.54,0.52,0.4,39.23,45.42,-0.07,0.59,0.02,-0.33,-0.08,-0.63,0.1,-0.24,0.33,-0.16,-0.4,0.38,-0.19,-0.193
Nathan De Morgan,8,138,112,24,14,10,4,17,57,82.61,1612,663,949,50.0,5,11,0,0,0,9,69.23,0,38,100,153,shred,2025,214.0,1.15,0.25,0.96,92.24,0.47,6.13,0.59,0.56,0.44,43.15,49.14,0.1,-0.34,-0.12,-0.14,-0.54,-0.6,0.28,-0.13,0.47,-0.01,-0.21,-0.02,-0.31,-0.262
Eugene L'Heureux,14,179,115,12,9,3,5,13,63,95.45,1057,666,391,57.39,7,3,1,1,0,4,100.00,136,3,176,220,shred,2025,214.0,1.02,0.25,0.9,85.31,0.48,6.02,0.53,0.48,0.36,42.09,43.26,-0.58,-0.11,-0.41,-0.5,-0.31,-0.55,-0.17,-0.87,-0.62,-0.7,-0.21,0.76,0.14,0.142
Luke Yorgason,7,88,62,11,5,6,4,13,58,96.67,901,579,322,66.13,5,2,0,0,0,3,100.00,0,10,78,103,shred,2025,214.0,1.81,0.43,1.61,150.46,0.82,10.72,0.9,0.91,0.63,74.09,76.45,-0.64,-0.34,-0.41,-0.6,-0.54,-0.59,-0.54,-0.55,-0.76,-0.78,-0.3,1.68,0.07,0.049
Nathan Huff,11,185,115,12,9,3,5,13,104,96.3,999,543,456,54.78,15,4,0,0,0,1,100.00,0,13,172,198,shred,2025,214.0,1.02,0.25,0.9,84.82,0.54,6.37,0.53,0.48,0.37,41.07,43.8,-0.58,-0.11,-0.41,-0.53,0.61,-0.22,-0.17,-0.87,-0.49,-0.62,-0.34,0.49,0.25,0.24
Ben Ashton,8,133,79,7,6,1,6,11,52,96.3,610,433,177,55.7,8,2,0,0,0,3,100.00,3,3,130,154,shred,2025,214.0,1.39,0.37,1.26,116.55,0.69,8.48,0.73,0.67,0.5,57.36,59.25,-0.86,0.13,-0.55,-0.78,-0.19,-0.64,-0.45,-1.08,-0.76,-0.96,-0.45,0.58,0.08,0.068
Kaden Froebe,5,65,41,5,0,5,3,8,5,83.33,147,1,146,53.66,1,0,0,0,0,0,--,0,8,57,79,shred,2025,214.0,2.5,0.61,2.24,202.76,1.11,14.46,1.2,1.3,0.87,95.35,107.52,-0.98,-0.57,-0.76,-1.08,-1.0,-1.02,-0.99,-0.66,-1.03,-1.0,-0.88,0.37,-0.2,-0.122
Travis Dunn,12,272,317,70,47,23,7,54,275,92.28,5105,2097,3008,57.73,19,21,0,2,0,15,55.56,0,258,14,273,growlers,2025,223.0,0.56,0.1,0.46,44.36,0.21,2.9,0.32,0.24,0.19,20.13,24.25,2.71,0.36,2.5,2.08,1.07,1.15,3.25,1.23,1.83,2.51,1.23,0.8,0.64,0.708
Khalif El-Salaam,12,275,252,58,30,28,2,45,204,92.31,3981,1358,2623,55.56,17,13,0,2,0,7,63.64,20,161,114,311,growlers,2025,223.0,0.65,0.11,0.54,51.21,0.26,3.36,0.33,0.32,0.21,22.35,28.88,2.03,-0.81,1.86,1.37,0.84,0.58,1.72,1.75,0.74,2.04,0.48,0.57,0.76,0.898
Jesse Cohen,12,194,201,41,21,20,7,41,116,93.55,2393,945,1448,61.69,13,6,0,1,0,3,100.00,0,143,51,200,growlers,2025,223.0,0.73,0.16,0.66,56.18,0.31,3.77,0.37,0.36,0.22,25.87,30.33,1.06,0.36,1.58,0.35,0.38,-0.13,0.91,0.91,-0.21,0.6,0.07,1.21,0.83,0.786
Marcel Osborne,14,318,366,57,22,35,7,35,387,93.93,5237,2599,2638,55.46,42,23,0,6,0,4,66.67,5,270,48,343,growlers,2025,223.0,0.45,0.09,0.35,38.86,0.25,2.82,0.21,0.24,0.17,18.82,20.05,1.97,0.36,1.15,2.17,3.73,2.05,1.0,2.49,2.1,2.06,1.73,0.56,0.98,1.215
Oliver Artus,13,212,256,41,11,30,4,35,107,93.86,2327,499,1828,54.3,9,7,0,3,0,3,60.00,0,205,7,220,growlers,2025,223.0,0.58,0.11,0.5,44.09,0.23,2.94,0.25,0.33,0.18,18.71,25.39,1.06,-0.34,1.15,0.31,-0.08,-0.2,0.01,1.96,-0.08,1.06,-0.38,0.43,0.35,0.348
Matt Miller,14,309,367,60,37,23,8,30,519,92.18,7137,4816,2321,55.59,32,37,0,1,0,25,67.57,1,280,29,338,growlers,2025,223.0,0.46,0.09,0.34,43.86,0.22,3.17,0.25,0.21,0.21,24.73,19.14,2.14,0.59,0.8,3.38,2.58,3.1,2.35,1.23,4.01,1.67,3.96,0.57,0.05,0.062
Max Gibson,9,144,94,20,12,8,17,28,68,87.18,1585,720,865,59.57,9,9,0,0,0,5,62.50,2,25,119,167,growlers,2025,223.0,1.31,0.42,1.24,108.74,0.6,7.35,0.68,0.64,0.49,51.57,57.22,-0.13,2.7,0.66,-0.16,-0.08,-0.51,0.1,-0.34,0.19,-0.12,-0.16,0.99,-0.07,-0.061
KJ Koo,10,197,207,28,10,18,10,27,191,95.02,3015,1426,1589,57.0,18,10,0,1,0,7,87.50,1,140,57,213,growlers,2025,223.0,0.65,0.17,0.58,57.52,0.32,4.01,0.31,0.34,0.24,27.41,30.14,0.33,1.06,0.59,0.75,0.96,0.47,-0.08,0.7,0.33,0.77,0.55,0.72,0.36,0.352
Daniel Brunker,10,162,193,33,21,12,5,23,242,95.28,3073,2037,1036,52.33,16,12,0,3,0,8,72.73,1,133,29,185,growlers,2025,223.0,0.72,0.15,0.6,61.88,0.33,4.56,0.38,0.34,0.26,32.43,29.47,0.61,-0.11,0.3,0.79,0.73,0.88,0.91,0.08,0.6,0.09,1.17,0.23,0.38,0.346
Kyle Rubin,11,224,264,24,16,8,3,19,178,95.19,2547,1471,1076,58.33,20,4,0,4,0,4,80.00,0,223,1,222,growlers,2025,223.0,0.5,0.1,0.42,43.59,0.26,3.12,0.26,0.23,0.16,21.77,21.84,0.1,-0.57,0.02,0.45,1.19,0.37,0.46,-0.34,-0.49,0.14,0.6,0.86,0.96,0.958
Casey Wu,12,156,192,19,4,15,2,18,113,98.26,1646,691,955,54.69,10,1,0,2,0,1,100.00,0,149,7,176,growlers,2025,223.0,0.65,0.14,0.57,54.95,0.3,3.92,0.3,0.36,0.21,25.77,29.21,-0.18,-0.81,-0.05,-0.12,0.04,-0.15,-0.63,0.39,-0.9,-0.01,-0.19,0.48,0.44,0.391
Casey Shugarman,14,195,109,7,4,3,13,17,31,91.18,704,162,542,47.71,5,3,0,0,0,0,--,0,6,189,224,growlers,2025,223.0,1.03,0.33,0.98,86.7,0.48,6.06,0.52,0.51,0.38,39.89,46.86,-0.86,1.76,-0.12,-0.72,-0.54,-0.81,-0.63,-0.87,-0.62,-0.51,-0.72,-0.26,-0.21,-0.21
Will Turner,12,218,125,16,8,8,7,17,132,94.96,1370,987,383,58.4,7,5,0,1,0,5,83.33,142,14,204,243,growlers,2025,223.0,0.97,0.25,0.86,81.15,0.44,6.09,0.48,0.48,0.35,41.32,39.87,-0.35,0.36,-0.12,-0.3,-0.31,0.0,-0.27,-0.34,-0.35,-0.71,0.11,0.87,-0.01,-0.01
Kobi McCracken,14,204,139,14,11,3,5,16,93,93.94,1253,676,577,53.96,8,3,0,0,0,3,75.00,0,32,172,241,growlers,2025,223.0,0.86,0.21,0.77,72.45,0.4,5.23,0.46,0.4,0.3,35.15,37.34,-0.47,-0.11,-0.19,-0.37,-0.19,-0.31,0.01,-0.87,-0.62,-0.47,-0.2,0.4,0.16,0.166
Stefan Samu,9,138,86,13,5,8,5,15,44,91.67,953,400,553,55.81,2,3,0,0,0,3,75.00,4,13,125,161,growlers,2025,223.0,1.35,0.33,1.21,111.35,0.57,7.74,0.66,0.69,0.47,52.58,58.82,-0.52,-0.11,-0.27,-0.56,-0.89,-0.71,-0.54,-0.34,-0.62,-0.5,-0.48,0.59,-0.15,-0.127
Maxwell Hume,13,185,110,16,3,13,6,14,50,89.29,821,212,609,57.27,3,6,0,2,0,0,--,0,12,173,219,growlers,2025,223.0,1.1,0.27,0.95,86.97,0.46,6.17,0.5,0.59,0.4,39.97,47.03,-0.35,0.13,-0.34,-0.65,-0.77,-0.66,-0.72,0.18,-0.21,-0.43,-0.67,0.75,-0.4,-0.396
Ben Levinsky,11,147,84,7,4,3,8,11,32,91.43,568,171,397,52.38,3,3,0,1,0,1,100.00,8,1,146,176,growlers,2025,223.0,1.31,0.37,1.19,109.53,0.6,7.78,0.66,0.65,0.48,51.19,58.39,-0.86,0.59,-0.55,-0.81,-0.77,-0.8,-0.63,-0.87,-0.62,-0.69,-0.71,0.23,-0.3,-0.267
Bryce Lozinski,13,232,141,10,9,1,4,11,138,97.87,1022,749,273,56.03,10,2,2,1,0,2,100.00,4,23,209,268,growlers,2025,223.0,0.82,0.2,0.73,69.88,0.41,5.47,0.44,0.38,0.29,35.16,34.75,-0.69,-0.34,-0.55,-0.52,0.04,0.05,-0.17,-1.08,-0.76,-0.84,-0.13,0.62,0.13,0.143
Michael Tran,9,163,108,10,6,4,7,11,97,93.27,745,566,179,52.78,7,6,0,0,0,2,40.00,58,27,136,197,growlers,2025,223.0,1.06,0.28,0.94,87.83,0.5,6.7,0.54,0.52,0.41,43.81,44.06,-0.69,0.36,-0.55,-0.7,-0.31,-0.28,-0.45,-0.76,-0.21,-0.96,-0.31,0.27,-0.32,-0.301
Peter Lenz,7,81,94,10,5,5,5,9,88,94.62,1055,708,347,54.26,2,5,0,1,0,3,100.00,5,61,20,90,growlers,2025,223.0,1.21,0.3,1.05,103.38,0.53,7.56,0.61,0.61,0.45,51.44,51.99,-0.69,-0.11,-0.69,-0.5,-0.89,-0.35,-0.54,-0.66,-0.35,-0.75,-0.17,0.43,-0.38,-0.241
Garrett Martin,11,244,293,68,31,37,4,54,204,94.01,4206,1473,2733,57.34,23,12,0,6,0,9,81.82,0,224,20,275,cascades,2025,177.0,0.6,0.1,0.5,44.92,0.24,2.9,0.29,0.31,0.17,19.66,25.28,2.59,-0.34,2.5,1.51,1.54,0.58,1.81,2.7,0.6,2.17,0.6,0.76,1.4,1.745
Zeppelin Raunig,9,194,237,42,11,31,6,42,102,94.44,3223,563,2660,53.59,9,5,0,1,0,2,100.00,0,189,5,202,cascades,2025,177.0,0.63,0.13,0.57,51.25,0.24,3.15,0.27,0.36,0.19,20.45,30.83,1.12,0.13,1.65,0.88,-0.08,-0.24,0.01,2.07,-0.35,2.09,-0.32,0.36,0.58,0.62
Conor Belfield,8,168,200,43,23,20,7,35,163,91.06,3609,1038,2571,53.0,13,12,0,3,0,7,50.00,0,155,13,192,cascades,2025,177.0,0.75,0.16,0.63,62.39,0.31,4.01,0.38,0.37,0.25,26.45,35.96,1.18,0.36,1.15,1.13,0.38,0.25,1.09,0.91,0.6,1.98,0.16,0.3,0.28,0.292
Langley Fitzpatrick,8,104,73,14,4,10,14,27,33,97.06,632,23,609,56.16,4,1,0,0,0,1,100.00,0,8,96,119,cascades,2025,177.0,1.59,0.5,1.56,125.79,0.69,8.88,0.76,0.83,0.53,56.51,69.35,-0.47,2.0,0.59,-0.77,-0.66,-0.79,-0.63,-0.13,-0.9,-0.43,-0.86,0.63,0.0,0.0
Lukas Ambrose,9,218,143,19,4,15,13,24,86,91.49,1507,433,1074,51.05,11,7,0,1,0,1,50.00,71,43,175,228,cascades,2025,177.0,0.87,0.26,0.8,72.21,0.41,5.04,0.4,0.47,0.32,32.55,39.69,-0.18,1.76,0.37,-0.21,0.15,-0.37,-0.63,0.39,-0.08,0.14,-0.45,0.09,-0.06,-0.068
Marc Munoz,10,202,186,33,25,8,7,23,244,93.49,3112,2070,1042,54.3,21,15,1,2,0,12,85.71,0,119,83,227,cascades,2025,177.0,0.75,0.17,0.62,64.36,0.37,4.73,0.42,0.33,0.29,33.8,30.59,0.61,0.36,0.3,0.81,1.31,0.9,1.27,-0.34,1.01,0.1,1.2,0.43,0.39,0.442
Tony Goss,10,204,221,28,13,15,4,22,280,96.55,2207,1454,753,58.37,21,9,0,1,0,3,100.00,0,160,44,230,cascades,2025,177.0,0.61,0.13,0.52,50.38,0.31,4.16,0.3,0.31,0.22,25.84,24.57,0.33,-0.34,0.23,0.24,1.31,1.19,0.19,0.39,0.19,-0.25,0.58,0.86,0.35,0.399
Tommy Li,12,230,289,33,14,19,4,19,163,90.56,2858,1072,1786,52.6,23,16,0,2,0,8,66.67,0,230,0,263,cascades,2025,177.0,0.49,0.1,0.39,40.95,0.25,2.8,0.23,0.25,0.19,18.56,22.4,0.61,-0.34,0.02,0.65,1.54,0.25,0.28,0.81,1.15,1.01,0.2,0.26,0.14,0.171
Jack Brown,11,213,168,18,12,6,10,17,77,88.51,1649,539,1110,49.4,6,8,0,3,0,5,62.50,4,87,126,230,cascades,2025,177.0,0.74,0.2,0.65,62.6,0.32,4.26,0.39,0.35,0.28,28.46,34.16,-0.24,1.06,-0.12,-0.12,-0.43,-0.44,0.1,-0.55,0.06,0.18,-0.34,-0.08,-0.27,-0.308
Asher Lantz,10,196,136,9,4,5,8,16,34,100.0,802,191,611,41.18,5,0,1,1,0,0,--,1,24,172,220,cascades,2025,177.0,0.84,0.23,0.79,70.79,0.39,4.92,0.42,0.43,0.28,32.45,38.38,-0.75,0.59,-0.19,-0.66,-0.54,-0.79,-0.63,-0.66,-1.03,-0.43,-0.69,-0.95,0.09,0.1
Derek Mourad,11,212,270,27,17,10,2,14,369,95.35,3409,2918,491,49.63,23,14,1,1,0,12,100.00,4,203,9,248,cascades,2025,177.0,0.5,0.1,0.4,45.78,0.27,3.74,0.26,0.24,0.2,26.56,19.24,0.27,-0.81,-0.34,1.0,1.54,1.9,0.55,-0.13,0.87,-0.57,2.05,-0.06,0.38,0.45
Dominic Jacobs,9,118,71,7,1,6,8,13,10,90.91,277,63,214,39.44,0,1,0,1,0,0,--,0,5,113,128,cascades,2025,177.0,1.54,0.43,1.42,124.43,0.66,8.82,0.74,0.8,0.54,58.53,65.97,-0.86,0.59,-0.41,-0.99,-1.12,-0.98,-0.9,-0.55,-0.9,-0.91,-0.82,-1.13,-0.26,-0.221
Mikey O'Brien,10,209,141,8,7,1,7,13,82,96.47,853,275,578,50.35,4,2,2,0,0,0,--,16,30,179,226,cascades,2025,177.0,0.81,0.22,0.74,68.72,0.37,5.08,0.42,0.38,0.29,31.92,36.84,-0.81,0.36,-0.41,-0.63,-0.66,-0.4,-0.36,-1.08,-0.76,-0.47,-0.6,0.02,-0.23,-0.26
Brandon Li,9,127,130,12,5,7,5,12,49,89.09,1047,204,843,50.0,2,4,0,1,0,1,100.00,1,80,47,144,cascades,2025,177.0,0.9,0.22,0.79,75.76,0.39,5.25,0.44,0.46,0.33,33.99,41.8,-0.58,-0.11,-0.48,-0.5,-0.89,-0.67,-0.54,-0.45,-0.49,-0.14,-0.68,-0.02,-0.35,-0.316
Emmet Shipway,11,159,150,18,2,16,4,12,128,91.43,1328,842,486,47.33,3,9,0,1,0,1,50.00,2,79,80,185,cascades,2025,177.0,0.83,0.19,0.69,67.79,0.34,5.08,0.37,0.46,0.32,33.72,34.1,-0.24,-0.34,-0.48,-0.32,-0.77,-0.03,-0.81,0.5,0.19,-0.58,-0.03,-0.3,-0.57,-0.583
Aaron Wolf,6,133,144,24,16,8,5,10,170,90.43,1875,1496,379,51.39,13,17,1,2,0,5,62.50,8,87,46,140,cascades,2025,177.0,0.9,0.2,0.7,74.19,0.42,5.57,0.48,0.42,0.38,39.47,34.76,0.1,-0.11,-0.62,0.02,0.38,0.31,0.46,-0.34,1.28,-0.71,0.62,0.13,-0.43,-0.382
Christian Foster,8,164,184,24,21,3,1,10,240,93.39,3280,2755,525,53.8,15,15,1,0,0,26,83.87,12,146,18,161,cascades,2025,177.0,0.71,0.14,0.56,65.93,0.34,4.76,0.4,0.31,0.29,37.78,28.17,0.1,-1.04,-0.62,0.92,0.61,0.87,0.91,-0.87,1.01,-0.53,1.89,0.38,0.19,0.181
Phillip Korolog,5,72,50,7,4,3,2,8,25,96.15,307,103,204,50.0,3,1,0,0,0,1,100.00,3,25,47,69,cascades,2025,177.0,2.13,0.49,1.87,172.49,0.96,12.45,1.07,1.05,0.75,81.6,90.98,-0.86,-0.81,-0.76,-0.97,-0.77,-0.86,-0.63,-0.87,-0.9,-0.93,-0.78,-0.02,-0.14,-0.087
Axel Olson,1,22,15,3,3,0,2,5,25,100.0,278,279,-1,66.67,3,0,0,0,0,2,100.00,10,5,17,25,cascades,2025,177.0,5.65,1.35,5.0,472.9,2.65,34.25,2.9,2.75,2.0,233.2,239.95,-1.09,-0.81,-0.98,-0.99,-0.77,-0.86,-0.72,-1.18,-1.03,-1.18,-0.6,1.74,-0.07,-0.026
Gavin Leahy,3,20,21,5,4,1,0,5,9,100.0,172,87,85,66.67,1,0,0,0,0,0,--,1,11,9,25,cascades,2025,177.0,4.42,0.96,3.85,359.69,1.96,25.73,2.27,2.15,1.54,172.0,187.88,-0.98,-1.27,-0.98,-1.06,-1.0,-0.99,-0.63,-1.08,-1.03,-1.07,-0.79,1.74,-0.15,-0.056
