Player,Y,SCR,HA,PlusMinus,BLK,Cmp%,PP,eUPV_custom
David Shields,1703,16,8,9,3,94.85,193,90.0
Jasper Tom,879,5,8,9,7,97.85,146,69.0
Andrew Sjogren,4529,65,20,55,2,95.73,291,173.0
Jake Kenniv,2624,35,13,31,8,90.84,221,119.0
Bryan Walsh,5979,55,24,18,4,92.55,308,183.0
Caleb Stanish,883,13,7,17,9,94.34,211,50.0
Grant Maynard,1465,19,8,14,3,91.95,175,84.0
Jack Havey,2709,24,12,12,7,89.55,205,118.0
Ashton Hoffman,1559,13,6,9,2,96.15,126,128.0
Terry Gaither,290,1,1,8,9,95.24,87,42.0
Tevor Balfour,452,4,2,6,6,84.85,114,35.0
Colin Ringwood,551,6,3,4,3,94.05,149,38.0
Tyler Mitchuson,164,2,0,4,5,76.92,139,10.0
Kevin Anthony,2058,17,16,3,3,90.63,170,109.0
Jordan Kinde,1241,15,1,2,2,87.6,143,72.0
Zachery Turner,148,3,1,2,2,86.67,56,26.0
Aaron Schwieterman,533,7,2,1,0,94.83,67,79.0
Chris Ellis,40,1,0,1,1,0.0,22,0.0
Elliot Deeds,19,0,0,1,1,100.0,11,29.0
Michael Ntende,9,0,0,1,1,50.0,20,3.0
Rees McDevitt,362,3,2,1,3,96.23,109,34.0
Matt LeMaitre,502,3,3,0,6,82.61,140,27.0
Levi Jacobs,4898,59,22,41,4,91.42,255,188.0
Xavier Payne,3463,39,27,37,15,96.72,301,131.0
Rick Gross,4058,49,18,33,5,91.78,255,156.0
Travis Carpenter,5088,46,28,28,2,95.45,255,205.0
Cody Curran,1172,22,4,24,7,92.11,182,73.0
Joshua Venegas,273,8,1,20,14,92.31,162,29.0
Corey Hardesty,949,16,7,19,3,100.0,121,104.0
Conner Henderson,2052,23,11,18,5,95.9,161,138.0
Kyle Romard,2958,27,21,18,2,95.38,248,124.0
Trey Dynes,2081,26,11,16,4,92.75,231,91.0
Cameron Brock,1856,22,9,15,1,93.6,104,182.0
Chris Walsh,3052,27,14,12,3,93.38,178,166.0
Jacob Fella,594,8,4,12,11,82.86,152,36.0
Mason Zetsch,803,12,3,12,5,84.62,180,40.0
Alex Mcclure,171,3,0,9,6,100.0,41,71.0
Lucas Coniaris,1547,20,7,9,2,88.98,164,86.0
Nick Hutton,971,11,5,6,8,76.81,183,36.0
Nick Phillips,240,6,1,6,1,88.89,134,20.0
Danny Khoe,171,3,0,5,2,100.0,45,54.0
Michael Ames,669,9,5,5,2,90.0,125,51.0
Sean McDougall,4056,67,20,60,18,86.84,295,131.0
Danny Landesman,2321,39,10,30,2,92.81,151,164.0
Sam Cook,3270,41,18,30,3,94.38,255,135.0
Michael Kiyoi,2621,37,14,22,3,93.15,253,106.0
KJ Koo,2292,24,11,21,8,91.93,173,132.0
Marcel Osborne,1936,31,15,21,2,90.0,177,109.0
Seamus Robinson,847,13,3,16,10,89.06,150,59.0
Matt Miller,991,15,6,15,4,95.38,177,65.0
Calvin Brown,3409,39,19,14,12,86.42,185,156.0
Mitchell Steiner,1417,15,7,13,8,93.22,204,71.0
Nate Ransom,850,13,2,9,8,87.74,169,47.0
Brandon Van Deusen,2085,23,18,5,2,90.16,156,122.0
Collin Gall,1835,19,14,5,1,94.12,236,77.0
Jake Baumer,150,2,0,4,3,88.89,36,46.0
Sam Plasman,284,3,0,4,2,90.91,66,43.0
Wayne Lu,93,2,0,4,5,57.14,35,15.0
Andrew Padula,646,6,10,3,5,92.45,216,30.0
Garrett Santi,201,5,0,3,1,78.95,71,23.0
Eddie Finley,60,0,0,2,3,80.0,46,12.0
Ian Ladner,243,3,0,2,0,97.44,48,55.0
Kevin Pettit-Scantling,1996,45,10,50,21,90.06,279,82.0
Jack Kelly,1905,40,5,38,3,95.93,153,151.0
Sterling Knoche,1504,32,4,34,5,94.83,166,110.0
Chris Wilen,2836,35,10,30,5,94.04,167,179.0
Victor Luo,4539,40,29,25,3,95.62,201,234.0
Rami Paust,4910,52,28,23,4,92.23,219,216.0
Chase Marty,838,19,3,22,6,97.78,171,66.0
Luke Marks,773,15,9,22,9,96.49,196,54.0
Joshua Wilson,2386,27,16,21,4,95.53,239,108.0
Andrew Meshnick,1112,11,6,16,9,92.06,206,57.0
Nico Ranabhat,965,14,5,14,6,86.84,155,59.0
Dylan Power,2543,20,14,13,3,95.88,177,148.0
Henry Goldenberg,1191,17,6,13,3,95.31,134,98.0
Biz Schlaefer,479,12,2,11,1,93.33,37,156.0
David Nester,1243,15,7,11,2,93.55,75,171.0
Ian McCosky,885,9,5,11,4,100.0,179,60.0
Liam McDonald,505,9,1,11,4,92.0,53,108.0
Ted Schewe,1244,13,9,9,0,88.24,102,110.0
Avery Johnson,1831,18,11,8,0,91.11,161,106.0
Jacob Wham,616,8,4,8,3,92.86,122,54.0
Nick Vogt,2868,47,17,55,12,96.73,237,149.0
Bryan Vohnoutka,3399,53,17,50,10,91.4,265,135.0
Dylan DeClerck,1276,23,7,40,23,92.42,224,72.0
Charles Weinberg,3258,45,19,33,1,94.55,195,179.0
Cole Jurek,3925,45,19,31,3,93.58,247,162.0
Rocco Linehan,3193,45,11,31,5,92.34,190,170.0
William Brandt,2294,36,14,27,2,95.56,163,158.0
Andrew Roy,3957,38,33,23,5,97.12,265,162.0
Charlie McCutcheon,788,16,3,23,9,95.59,206,50.0
Isaac Leonard,1098,15,9,18,5,95.08,124,103.0
James Kittlesen,775,9,3,18,12,92.31,170,52.0
Tony Poletto,2316,33,23,17,2,96.63,196,132.0
Bret Bergmeier,1430,18,10,16,5,94.12,191,81.0
Brett Matzuka,1544,12,21,16,10,97.46,179,101.0
Brandon Matis,573,8,1,15,9,94.29,166,42.0
Colin Berry,1244,16,8,13,8,91.3,200,63.0
Michael Jordan,1609,16,9,13,1,95.65,132,129.0
Scott Hearne,899,15,2,11,2,93.26,116,82.0
Paul Krenik,381,8,3,9,1,100.0,45,117.0
Raheem Ishaque,273,4,1,9,6,100.0,62,65.0
Sacha Poitte-Sokolsky,3664,63,14,59,4,94.38,196,211.0
Jakob Brissette,3543,44,18,30,8,92.94,179,201.0
Malik Auger-Semmar,3817,47,17,27,6,88.64,222,157.0
Christophe Tremblay-Joncas,1540,15,7,26,16,95.52,201,89.0
Kevin Quinlan,3395,36,28,20,4,91.56,205,161.0
Miguel Goderre,1940,23,31,19,2,97.36,197,116.0
Nabil Chaouch,1117,20,3,19,8,86.96,149,73.0
André Arsenault,703,12,4,18,12,88.46,129,60.0
Ywan Cohonner,478,8,5,15,8,95.45,128,51.0
Gabriel Monfette,1172,17,4,13,2,95.33,132,97.0
Vincent Lemieux,3735,34,13,13,5,91.26,203,169.0
Felix Leonard,388,8,3,9,2,93.75,79,60.0
Basile Limoges,487,5,3,6,3,92.68,73,70.0
Thomas Duplaix,608,9,4,6,4,88.06,163,35.0
Thomas Lalonde-Landry,176,5,2,6,1,100.0,81,34.0
Simon Charette,373,7,3,5,2,61.54,119,15.0
Eliott Heloir,1015,9,8,3,3,89.11,145,62.0
Olivier Bastien,150,3,1,3,1,87.5,82,19.0
Vincent Gamache,433,5,3,3,1,92.68,79,55.0
Julien Sénéchal,336,3,1,2,2,85.19,106,26.0
Ben Jagt,7135,118,40,107,20,92.26,415,186.0
Ryan Osgar,7363,114,30,88,2,92.75,314,246.0
Jeff Babbitt,1751,31,3,52,21,100.0,308,81.0
John Lithio,4446,55,26,52,7,95.38,315,156.0
Jack Williams,6489,64,49,46,6,96.5,378,185.0
Matt Stevens,1887,41,12,40,2,98.44,270,92.0
Conor Kline,1309,33,4,32,3,92.16,190,81.0
Elliott Chartock,6255,44,33,27,7,95.66,274,231.0
Ryan Drost,734,11,5,22,18,88.52,230,37.0
Mike Drost,783,11,5,20,10,98.44,277,38.0
Marques Brownlee,1005,15,5,19,12,84.62,212,45.0
Sam Feder,724,12,5,11,3,90.38,188,40.0
Solomon Rueschemeyer-Bailey,3176,23,28,11,0,97.48,266,126.0
Josue Alorro,664,7,7,8,3,97.3,162,48.0
Ryan Holmes,318,6,1,8,5,70.0,125,17.0
Nasser M'Bae Vogel,401,5,2,7,2,100.0,103,50.0
Ryan Weaver,2841,17,14,7,3,94.9,198,140.0
Kainoa Chun-Moy,706,7,3,5,2,85.19,90,65.0
Ben Katz,3072,20,16,4,8,91.84,278,100.0
Matt LaBar,138,2,2,4,2,100.0,54,38.0
Jordan Kerr,4890,52,21,42,13,92.63,280,175.0
Keenan Laurence,3546,46,12,39,8,88.54,220,151.0
Shane Earley,1771,34,7,30,5,87.84,188,94.0
Andrew Moore,2612,35,13,24,5,90.79,207,124.0
Sawyer Thompson,3156,38,12,23,6,86.11,202,134.0
Justin Norden,4616,50,33,19,2,91.72,241,182.0
Munis Thahir,1573,23,8,18,4,91.67,197,82.0
Jacob Miller,856,14,5,17,8,94.74,158,65.0
Jake Thorne,1276,15,5,16,7,94.19,135,102.0
Kevin Tien,685,13,2,16,10,86.67,148,48.0
Jace Bruner,382,8,1,13,5,100.0,41,139.0
Steven Chang,2198,20,11,13,1,95.31,156,145.0
Jackson Stearns,617,8,3,11,6,80.0,60,85.0
Chris Lung,1015,10,8,10,6,92.0,144,72.0
Brandon Fein,277,6,0,9,5,88.89,113,29.0
Matthew Crawford,984,12,8,8,2,94.34,144,72.0
Marcelo Sanchez,1262,13,8,8,4,92.0,88,140.0
Ben Levinsky,506,5,3,5,6,87.23,123,38.0
Colin Grant,606,7,7,5,3,97.06,113,61.0
Evan Magsig,393,6,2,5,3,90.2,106,38.0
Greg Martin,3466,64,14,57,5,96.53,253,163.0
Sean Mott,5302,59,33,39,3,93.71,278,195.0
James Pollard,1679,22,3,22,9,85.71,156,96.0
Mike Arcata,4002,44,14,21,3,89.3,229,157.0
Brandon Pastor,1053,17,3,18,2,98.21,146,88.0
Eric Witmer,1592,19,9,18,10,90.91,228,70.0
Paul Owens,1824,21,11,16,5,92.86,212,88.0
Colin Masino,557,6,1,14,14,89.58,197,31.0
Nate Little,582,12,3,14,9,71.43,140,30.0
Nicholas DiGiorgio,965,17,1,10,3,86.57,152,57.0
Matthew Glazer,1617,18,13,9,1,95.33,132,128.0
Scott Heyman,1555,17,13,9,4,88.54,201,70.0
Alex Thorne,2138,18,9,8,0,94.47,119,176.0
Jake Butrica,1004,13,3,6,4,89.92,132,71.0
Marc Sands,1107,12,9,6,2,89.16,76,134.0
Matt Esser,488,5,4,5,2,96.08,117,46.0
Allan Michel,493,3,8,4,4,97.67,149,38.0
Casey Thornton,655,6,5,4,0,96.92,42,168.0
Eric Nardelli,1208,12,5,4,6,88.51,209,51.0
Matt Hanna,1300,11,6,4,1,92.11,141,86.0
Max Sheppard,4934,79,16,60,7,91.48,296,170.0
CJ Colicchio,4803,73,27,58,15,88.19,297,155.0
Jimmy Towle,4291,51,24,37,5,93.36,280,157.0
Thomas Edmonds,5046,48,29,32,5,95.95,258,206.0
Anson Reppermund,1346,17,7,22,13,88.24,213,63.0
Connor Newell,2705,32,25,14,3,89.55,252,100.0
Kenny Furdella,1569,15,5,12,2,97.77,129,133.0
Myles Cooper,251,4,0,12,9,100.0,132,31.0
Steve Mogielski,485,9,3,11,4,88.89,142,37.0
Anthony Davis,484,8,1,9,6,89.66,145,35.0
Tristan Yarter,965,12,2,9,9,88.1,159,56.0
Pete Zaccardi,1413,14,9,8,8,93.52,223,64.0
Clint McSherry,249,6,1,5,0,96.43,53,59.0
Jonathan Mast,3068,17,24,4,0,96.4,192,160.0
Sam VanDusen,3074,27,10,4,10,83.41,305,76.0
Adam Burgess,837,10,9,3,4,93.33,135,63.0
Owen Watt,1252,14,5,3,3,77.19,135,61.0
Alan Gruntz,127,4,0,2,0,77.78,122,8.0
Kevin O'Brien,158,2,1,2,0,90.91,54,30.0
Thomas Hansen,86,0,1,2,2,100.0,51,23.0
Travis Dunn,5235,74,32,54,3,93.85,292,190.0
Lior Givol,3350,57,19,44,4,89.76,268,126.0
Jonathan Helton,4718,72,35,42,7,90.05,292,158.0
Nate Pettyjohn,1752,35,6,30,4,90.91,163,115.0
Hunter Corbett,1936,29,7,28,8,89.74,201,97.0
Jesse Cohen,1500,33,6,28,2,90.67,146,111.0
Steven Milardovich,1894,15,14,28,23,92.95,239,86.0
Tim Okita,2816,39,19,26,2,97.06,249,128.0
Kyle Rubin,1446,23,20,19,1,95.52,199,85.0
Jordan Queckboerner,779,11,4,18,13,85.71,141,56.0
Khalif El-Salaam,1492,25,2,17,12,86.41,195,70.0
Will Turner,1033,17,8,17,10,92.37,229,50.0
Jeffrey Silverman,334,8,1,15,7,95.0,151,33.0
Michael Tran,1561,21,12,15,8,95.59,220,79.0
Paul Lally,3322,31,34,13,4,93.47,221,150.0
Dominic Leggio,1281,8,13,11,9,96.38,246,57.0
Jonathan Nethercutt,1369,12,7,9,0,97.69,68,218.0
Maxwell Hume,427,5,2,8,9,81.08,184,20.0
Reggie Sung,512,9,1,7,1,81.25,104,40.0
Stefan Samu,384,4,2,7,3,94.12,71,61.0
Garrett Martin,1661,23,8,24,11,92.19,196,90.0
Jack Brown,2483,31,12,24,9,94.16,219,120.0
Tarik Akyuz,1743,25,6,23,6,91.21,151,118.0
Nick Mahan,944,10,6,19,11,97.5,181,65.0
Brad Houser,2601,27,6,18,3,91.06,140,175.0
Martin Le,886,17,5,18,4,94.59,81,131.0
Dominic Jacobs,618,12,4,17,8,95.24,159,51.0
Shane Worthington,1992,19,8,17,19,81.19,224,69.0
Manuel Eckert,4952,46,35,15,5,93.47,249,194.0
Jake Steen,1665,22,6,14,1,92.06,140,118.0
Aidan Lopez-Escarez,1118,15,6,13,10,71.11,146,48.0
Austin Barden,1273,18,5,12,3,85.45,133,83.0
Kenny Lane III,1244,15,7,10,2,95.04,130,101.0
Michael Brisbois,1136,16,5,10,2,89.47,172,63.0
Marc Munoz,2187,28,14,9,4,86.81,173,109.0
Chris Bubernak,330,7,3,8,4,81.82,95,33.0
Spencer Lofink,504,11,1,8,1,91.43,53,102.0
Brian Roach,584,9,1,7,2,89.29,82,69.0
Adam Simon,1455,14,8,6,2,91.78,93,148.0
David Zhou,389,7,1,6,1,95.45,82,55.0
Cameron Harris,4651,53,15,43,6,91.19,222,204.0
Mike Mackenzie,3668,51,19,39,5,89.51,223,159.0
Phil Turner,1250,23,5,36,21,86.27,188,71.0
Jonathan Edwards,1547,32,1,27,4,88.89,151,104.0
Nathan Hirst,3979,41,32,26,2,94.85,211,197.0
Andrew Carroll,2893,34,13,20,0,92.81,148,194.0
Jason Huynh,1844,26,15,20,3,92.86,178,109.0
Jacky Hau,730,12,5,16,9,90.57,140,58.0
Wilkie Lewis,1528,20,10,15,3,89.86,162,91.0
Iain Mackenzie,1353,15,9,13,5,92.13,149,92.0
Dan LaFrance,468,8,1,8,0,90.91,60,82.0
Luc Comire,2405,18,18,8,1,95.25,197,123.0
Jason Lam,521,7,6,7,6,89.33,124,43.0
Paul Mensah,59,2,1,6,5,100.0,90,16.0
James Lewis,141,2,0,5,4,88.89,67,25.0
Kevin Jay,426,6,2,5,2,90.0,136,31.0
Geoff Powell,209,4,2,4,3,90.0,43,54.0
Bryan Kuo,320,3,1,3,1,93.33,58,56.0
Eli Park,35,2,1,2,1,83.33,22,23.0
Kieran Charnock,158,1,0,2,1,100.0,57,33.0
Elijah Jaime,2208,49,17,51,5,98.92,200,150.0
Austin Taylor,5761,65,30,45,2,94.51,272,220.0
Matt Smith,2931,36,17,38,3,97.71,166,206.0
Christian Olsen,2771,31,21,28,7,96.5,204,152.0
JP Burns,1992,25,9,25,9,92.22,172,120.0
Dean Ramsey,410,7,4,24,18,94.44,152,44.0
Jeremy Langdon,1252,22,9,23,4,92.16,90,155.0
Brett Hulsmeyer,839,12,3,21,18,89.33,187,50.0
Bradley Seuntjens,2002,21,13,18,8,90.35,223,87.0
Parker Bray,2178,23,11,16,4,90.57,162,127.0
Bobby Ley,3280,34,16,15,3,92.97,167,191.0
Karl Ekwurtzel,1533,17,10,15,2,94.25,122,133.0
Justin Burnett,769,8,3,14,11,86.49,134,55.0
Max Thorne,1861,19,10,12,1,94.79,100,191.0
Trip Crowley,1174,15,3,12,4,86.54,110,95.0
Tyler Randall,845,10,13,12,6,95.79,180,56.0
Kelvin Williams,305,7,2,11,4,100.0,125,38.0
Matthew Knowles,347,8,0,9,2,94.12,98,44.0
John Stubbs,647,9,2,7,0,90.63,40,159.0
Patrick Dougherty,744,8,7,7,1,96.23,60,138.0
Kyle Henke,4924,72,20,73,12,97.49,341,171.0
Evan Swiatek,5010,80,26,71,5,95.39,304,187.0
Mark Evans,4845,67,32,45,5,91.9,284,173.0
Reese Bowman,2865,48,12,39,4,92.47,263,116.0
Joey Wylie,1992,24,11,31,12,94.12,276,80.0
Vinay Valsaraj,2185,38,13,31,1,92.31,228,103.0
Matthew Armour,2036,32,14,30,9,93.48,279,81.0
Eric Brodbeck,2233,28,13,29,7,97.38,224,116.0
Jake Reinhardt,1850,21,8,25,14,93.33,272,73.0
Jake Radack,6437,58,35,24,2,93.33,263,237.0
Mark Henke,491,11,5,19,10,87.88,155,39.0
Elliott Moore,1194,19,5,16,3,94.37,152,87.0
Oliver Fay,898,9,8,12,9,90.2,207,44.0
Eric Carter,798,13,17,11,5,91.95,148,61.0
Ethan Pollack,739,7,4,11,7,94.44,174,47.0
Jackson Potts,884,9,0,9,4,90.74,123,69.0
Mick Walter,402,4,4,8,6,93.02,112,41.0
Zach Slayton,555,8,4,8,2,97.44,65,102.0
Jacob Sames,773,6,5,6,0,100.0,86,103.0
Gavin Babbitt,392,5,5,4,1,94.74,70,62.0
Ray Tetreault,3949,52,22,37,2,93.49,270,152.0
Willie Stewart,4489,49,21,36,6,93.75,274,167.0
Benjamin Sadok,5590,52,26,31,3,95.18,274,208.0
Cole Davis-Brand,4468,50,29,28,4,91.55,207,209.0
Topher Davis,2018,28,8,25,6,91.4,150,137.0
Gustav Haflin,690,14,2,21,7,100.0,169,59.0
Anders Olsen,1289,21,8,17,2,94.62,126,114.0
Zachary Burpee,2030,28,9,17,1,87.72,136,135.0
Chris Bartoli,510,5,6,16,16,86.21,190,30.0
Tannor Johnson-Go,1867,27,14,16,2,89.63,106,170.0
Jeff Graham,808,16,12,15,2,97.65,68,155.0
Orion Cable,965,18,3,15,0,85.29,71,125.0
Brendan McCann,1524,17,5,13,11,91.01,260,57.0
Turner Allen,338,7,1,11,6,87.5,81,48.0
Cam Wariner,731,10,3,10,7,81.58,123,49.0
Hunter Lang,466,10,4,8,1,97.44,86,68.0
Cody McInnis,1042,13,10,7,2,88.89,153,64.0
Alex Donadio,293,5,4,6,6,84.38,156,19.0
Ivan Tran,161,4,1,6,2,100.0,70,36.0
Cole Moore,800,11,6,5,3,82.46,187,34.0
Alex Davis,4074,75,27,66,6,92.22,282,159.0
Henry Fisher,3971,50,20,46,2,98.07,240,192.0
Jacob Fairfax,4634,55,20,45,11,92.44,302,155.0
Terrence Mitchell,3565,46,25,41,3,95.53,217,182.0
Matt Gouchoe-Hanas,3360,32,36,32,5,98.82,256,154.0
Sol Yanuck,5372,51,28,32,2,96.07,252,223.0
Eric Taylor,3165,47,12,29,6,90.04,214,143.0
Anders Juengst,1204,25,8,24,2,96.04,75,198.0
Charlie McCutcheon,497,12,1,16,8,90.0,153,39.0
Suraj Madiraju,893,14,12,15,5,96.18,231,47.0
Elijah Long,1834,24,12,14,5,94.85,202,96.0
Grayson Sanner,1140,16,2,14,2,93.67,154,78.0
Dylan Hawkins,1190,14,9,13,3,92.86,120,104.0
Seth Weaver,364,14,3,12,2,96.97,160,34.0
Trevor Lynch,1511,19,13,12,0,92.41,84,182.0
William Coffin,912,10,2,12,6,91.67,156,60.0
Marc Rovner,306,6,3,11,5,100.0,49,97.0
Ethan Bloodworth,785,11,8,10,3,92.77,179,47.0
Justin Allen,519,9,1,10,2,93.33,105,56.0
Noah Saul,882,11,7,10,3,96.55,136,74.0
Pawel Janas,8218,99,54,71,1,94.76,351,248.0
Ross Barker,6224,87,42,68,4,93.88,366,182.0
Jeff Weis,4652,66,27,56,5,95.21,335,154.0
Jack Shanahan,3799,57,20,44,4,94.03,295,139.0
Sam Kaminsky,4302,49,31,44,2,98.33,313,159.0
Asher Lantz,825,20,1,32,15,90.0,247,42.0
Kyle Rutledge,4264,46,20,32,1,96.2,262,174.0
Eli Artemakis,1599,29,9,28,4,90.57,89,192.0
Nick Pappas,1094,20,5,24,5,98.04,155,91.0
Jason Vallee,1791,21,14,21,13,92.53,295,64.0
Jace Bruner,596,9,1,20,14,90.91,156,47.0
Paul Arters,2461,32,17,20,2,90.86,155,155.0
Cal Tornabene,1107,18,9,16,4,98.36,253,54.0
Joe White,1754,24,10,15,2,90.65,114,150.0
Nate Goff,1276,17,4,15,16,82.42,219,49.0
