Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,MP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,MP_z,Offensive_Value,Score,team_avg_scr
Rocco Linehan,13,206,164,29,22,7,12,25,136,90.07,2097,1271,826,51.83,10,15,0,1,1,10,71.43,64,70,136,257,glory,2023,13.41,4.27,17.68,0.83,5.83,0.12,8.0,5.0,13.0,6.1,9.15,15.42,170.0,0.59,0.16,0.15,12.7,0.21,0.83,0.31,0.25,0.24,7.67,5.07,0.56,7.11,-0.36,-0.16,0.54,0.59,-0.4,0.16,-0.12,-0.55,-0.18,-0.21,0.84,0.23,-0.12,-0.41,-0.4,-0.492,-0.097
Tanner Halkyard,12,201,246,38,19,19,5,25,108,86.4,2937,964,1973,43.5,12,17,1,1,0,5,71.43,0,185,16,226,glory,2023,7.72,7.72,15.45,0.44,2.49,0.12,4.0,8.0,12.0,4.88,6.91,27.19,170.0,0.43,0.08,0.1,11.9,0.15,0.45,0.2,0.22,0.17,3.94,7.98,0.43,4.67,-0.68,-0.82,-0.34,0.39,-0.75,-0.78,-0.62,-0.67,-0.58,0.92,-0.26,-0.77,1.62,-0.75,-0.41,-0.473,-0.097
Topher Davis,9,140,161,22,8,14,4,21,82,94.25,1313,581,732,56.52,5,5,0,0,0,4,80.00,5,114,26,164,glory,2023,4.97,8.7,13.66,0.51,2.86,0.15,4.0,5.0,8.0,3.11,3.11,16.01,170.0,0.55,0.11,0.13,8.21,0.18,0.52,0.23,0.3,0.18,3.65,4.59,0.58,6.68,-0.44,-0.57,0.19,-0.56,-0.58,-0.61,-0.49,-0.35,-0.52,-0.4,-0.35,0.79,-0.03,-0.47,0.05,0.049,-0.097
Orion Cable,6,106,134,27,7,20,3,20,46,86.79,1470,148,1322,44.03,5,7,1,3,0,2,50.00,0,95,11,123,glory,2023,5.22,14.93,20.15,0.34,2.83,0.19,1.0,10.0,11.0,3.73,5.22,31.96,170.0,0.7,0.13,0.14,10.94,0.22,0.37,0.27,0.4,0.23,1.24,9.73,0.81,7.68,-0.14,-0.4,0.37,0.14,-0.35,-0.98,-0.3,0.05,-0.24,1.6,-1.06,-0.7,2.33,-0.32,-0.1,-0.085,-0.097
Chris Bartoli,12,167,97,12,3,9,10,19,25,92.59,578,80,498,44.33,3,2,0,1,0,0,--,0,4,163,180,glory,2023,3.09,9.28,12.37,0.26,5.99,0.11,1.0,5.0,6.0,3.09,2.06,23.12,170.0,0.8,0.25,0.19,6.16,0.27,0.29,0.32,0.43,0.26,1.03,5.18,1.01,11.03,0.06,0.59,1.25,-1.09,-0.06,-1.18,-0.08,0.17,-0.07,-0.17,-1.12,-0.67,1.02,0.15,-0.14,-0.144,-0.097
Gustav Haflin,13,194,112,7,4,3,10,15,42,95.45,738,316,422,45.54,6,1,0,1,0,1,100.00,1,3,191,238,glory,2023,3.57,2.68,6.25,0.38,5.15,0.08,3.0,4.0,7.0,5.36,0.89,17.57,170.0,0.66,0.21,0.13,6.74,0.26,0.4,0.29,0.32,0.22,2.91,3.86,0.83,10.11,-0.22,0.26,0.19,-0.94,-0.12,-0.91,-0.21,-0.27,-0.29,-0.68,-0.56,-0.52,0.2,0.02,-0.03,-0.035,-0.097
Benjamin Sadok,10,175,220,29,20,9,3,14,341,94.99,4022,2800,1222,52.73,14,17,0,1,0,5,45.45,0,175,0,199,glory,2023,9.09,4.09,13.18,1.55,1.71,0.08,13.0,6.0,18.0,6.36,7.73,11.79,170.0,0.44,0.08,0.06,18.1,0.17,1.54,0.22,0.2,0.19,12.56,5.56,0.41,5.08,-0.66,-0.82,-1.04,1.97,-0.63,1.91,-0.53,-0.75,-0.46,-0.02,2.28,0.34,-0.66,-0.7,0.32,0.346,-0.097
Tyler Chan,9,147,139,19,11,8,7,14,116,91.34,2113,1120,993,47.48,12,9,0,3,0,8,66.67,0,62,85,177,glory,2023,7.91,5.76,13.67,0.83,4.76,0.1,8.0,7.0,15.0,8.63,6.47,18.22,170.0,0.62,0.15,0.1,15.02,0.26,0.84,0.28,0.3,0.24,7.95,7.1,0.68,7.79,-0.3,-0.24,-0.34,1.18,-0.12,0.18,-0.26,-0.35,-0.18,0.58,0.92,-0.29,0.3,-0.31,0.08,0.082,-0.097
Colin Sunde,11,146,180,19,18,1,1,12,233,95.88,2231,2119,112,52.78,13,7,0,1,0,14,82.35,0,144,2,166,glory,2023,10.0,0.56,10.56,1.29,0.68,0.08,12.0,1.0,12.0,7.22,3.89,9.58,170.0,0.48,0.09,0.06,12.33,0.21,1.29,0.26,0.19,0.17,11.59,0.77,0.48,6.01,-0.58,-0.73,-1.04,0.5,-0.4,1.29,-0.35,-0.79,-0.58,-1.88,1.99,0.35,-0.98,-0.56,0.76,0.751,-0.097
Phillip Joyce,12,146,82,10,2,8,11,12,19,73.08,349,136,213,47.56,1,7,0,2,0,0,0.00,12,8,138,185,glory,2023,2.44,9.76,12.2,0.23,7.53,0.08,2.0,3.0,4.0,1.22,8.54,18.37,170.0,0.92,0.3,0.14,4.59,0.3,0.28,0.37,0.49,0.37,1.85,2.79,1.13,12.99,0.3,1.0,0.37,-1.49,0.11,-1.2,0.15,0.41,0.55,-1.1,-0.88,-0.28,0.32,0.43,-1.38,-1.44,-0.097
Brendan McCann,8,140,110,15,9,6,5,11,108,88.52,879,675,204,42.73,5,8,0,1,0,3,60.00,110,10,130,159,glory,2023,8.18,5.45,13.64,0.98,3.57,0.08,6.0,2.0,8.0,4.55,7.27,8.14,170.0,0.74,0.17,0.1,8.08,0.26,0.98,0.34,0.36,0.29,6.09,2.03,0.77,9.6,-0.06,-0.07,-0.34,-0.59,-0.12,0.53,0.02,-0.11,0.1,-1.39,0.37,-0.86,-1.2,-0.05,-0.44,-0.426,-0.097
Cole Davis-Brand,11,191,244,28,16,12,3,11,341,93.17,3682,2041,1641,47.54,27,19,0,1,0,4,40.00,1,189,2,230,glory,2023,6.56,4.92,11.48,1.4,1.57,0.06,8.0,7.0,15.0,11.07,7.79,10.8,170.0,0.39,0.07,0.04,14.99,0.21,1.39,0.18,0.19,0.18,8.3,6.71,0.36,4.72,-0.76,-0.9,-1.4,1.18,-0.4,1.54,-0.72,-0.79,-0.52,0.42,1.02,-0.28,-0.8,-0.75,0.12,0.14,-0.097
Jac Carreiro,6,64,36,7,4,3,5,11,15,93.75,427,169,258,63.89,1,1,0,0,0,1,100.00,8,2,62,60,glory,2023,11.11,8.33,19.44,0.42,7.81,0.17,5.0,7.0,12.0,2.78,2.78,28.47,170.0,1.88,0.49,0.27,11.63,0.63,0.49,0.83,0.93,0.63,4.73,7.02,2.65,24.51,2.21,2.56,2.66,0.32,2.01,-0.68,2.25,2.16,2.02,0.54,-0.03,1.68,1.81,2.08,0.14,0.083,-0.097
Stewart Kelley,8,97,44,7,2,5,5,11,5,71.43,259,44,215,54.55,0,1,0,0,0,0,--,0,0,97,97,glory,2023,4.55,11.36,15.91,0.11,5.15,0.11,1.0,5.0,6.0,0.0,2.27,51.8,170.0,1.57,0.41,0.22,6.31,0.51,0.2,0.65,0.82,0.53,1.41,5.0,2.69,21.27,1.59,1.9,1.78,-1.05,1.32,-1.4,1.43,1.72,1.46,-0.24,-1.01,0.56,5.27,1.61,-0.37,-0.279,-0.097
Gabe Colton,8,108,59,8,3,5,3,9,21,91.3,471,31,440,61.02,2,2,0,0,0,0,--,27,1,107,109,glory,2023,5.08,8.47,13.56,0.36,2.78,0.08,1.0,7.0,8.0,3.39,3.39,22.43,170.0,1.22,0.28,0.14,8.14,0.42,0.41,0.52,0.62,0.42,0.88,7.34,1.6,16.47,0.9,0.83,0.37,-0.58,0.8,-0.88,0.84,0.93,0.84,0.67,-1.16,1.33,0.92,0.93,-0.39,-0.312,-0.097
Jay Clark,7,84,102,13,7,6,1,9,75,93.75,1350,725,625,47.06,5,5,0,0,0,4,66.67,0,82,2,101,glory,2023,6.86,5.88,12.75,0.74,1.19,0.11,7.0,6.0,13.0,4.9,4.9,18.0,170.0,0.78,0.15,0.08,13.08,0.28,0.75,0.35,0.38,0.28,7.01,6.12,0.92,9.78,0.02,-0.24,-0.69,0.69,-0.0,-0.04,0.06,-0.03,0.04,0.19,0.64,-0.34,0.26,-0.03,0.07,0.054,-0.097
Nathanial Dick,8,111,75,8,6,2,2,6,75,94.94,747,674,73,49.33,11,3,0,1,0,2,66.67,0,2,109,130,glory,2023,8.0,2.67,10.67,1.0,1.8,0.05,9.0,1.0,10.0,14.67,4.0,9.96,170.0,0.98,0.21,0.08,9.96,0.45,1.0,0.45,0.46,0.35,8.74,1.29,1.12,13.44,0.42,0.26,-0.69,-0.11,0.97,0.57,0.52,0.29,0.44,-1.68,1.15,-0.07,-0.93,0.5,0.65,0.568,-0.097
Oscar Graff,8,98,43,6,5,1,4,6,17,73.91,248,79,169,55.81,2,4,0,0,0,0,--,0,3,95,109,glory,2023,11.63,2.33,13.95,0.4,4.08,0.06,2.0,4.0,6.0,4.65,9.3,14.59,170.0,1.58,0.4,0.12,6.21,0.56,0.46,0.73,0.75,0.6,2.17,4.15,1.97,21.96,1.61,1.82,0.01,-1.07,1.61,-0.76,1.8,1.44,1.85,-0.57,-0.78,0.71,-0.24,1.71,-1.3,-1.041,-0.097
Jacob Fairfax,12,273,314,45,14,31,10,44,201,95.26,4586,961,3625,56.05,15,9,0,2,0,6,75.00,1,247,26,295,flyers,2023,4.46,9.87,14.33,0.64,3.66,0.16,3.0,12.0,15.0,4.78,2.87,22.82,190.0,0.36,0.08,0.14,14.53,0.13,0.65,0.14,0.21,0.11,3.09,11.46,0.32,3.89,-0.82,-0.82,0.37,1.06,-0.86,-0.29,-0.9,-0.71,-0.92,2.27,-0.51,0.74,0.98,-0.87,0.32,0.399,0.24
Trevor Lynch,11,267,288,43,32,11,7,31,268,93.38,4210,2658,1552,57.99,24,16,0,3,0,14,70.00,0,233,34,286,flyers,2023,11.11,3.82,14.93,0.93,2.62,0.12,9.0,5.0,15.0,8.33,5.56,15.71,190.0,0.39,0.08,0.11,14.54,0.17,0.93,0.21,0.16,0.14,9.16,5.4,0.33,4.2,-0.76,-0.82,-0.16,1.06,-0.63,0.4,-0.58,-0.91,-0.75,-0.09,1.28,0.97,-0.08,-0.82,0.49,0.601,0.24
Suraj Madiraju,11,254,205,33,16,17,6,30,162,94.74,1966,663,1303,59.02,16,8,1,1,0,1,100.00,0,125,129,273,flyers,2023,7.8,8.29,16.1,0.79,2.36,0.12,3.0,6.0,10.0,7.8,3.9,12.14,190.0,0.49,0.1,0.14,9.6,0.2,0.8,0.22,0.25,0.16,3.28,6.35,0.44,5.8,-0.56,-0.65,0.37,-0.2,-0.46,0.08,-0.53,-0.55,-0.63,0.28,-0.45,1.09,-0.6,-0.59,0.28,0.336,0.24
Joe White,5,95,100,34,19,15,1,26,140,92.72,2408,1029,1379,58.0,9,8,0,1,0,3,50.00,0,80,15,119,flyers,2023,19.0,15.0,34.0,1.4,1.05,0.27,10.0,14.0,24.0,9.0,8.0,17.2,190.0,0.99,0.15,0.25,23.41,0.32,1.38,0.47,0.48,0.31,10.04,13.42,0.93,10.13,0.44,-0.24,2.3,3.33,0.23,1.51,0.61,0.37,0.21,3.03,1.54,0.97,0.14,0.02,1.27,1.005,0.24
Anders Juengst,12,254,308,41,13,28,1,23,284,94.35,3193,1401,1792,57.79,16,15,0,4,0,6,54.55,0,239,15,297,flyers,2023,4.22,9.09,13.31,0.92,0.39,0.09,5.0,6.0,10.0,5.19,4.87,11.24,190.0,0.35,0.05,0.07,10.36,0.13,0.92,0.14,0.2,0.13,4.56,5.82,0.29,3.97,-0.84,-1.06,-0.87,-0.01,-0.86,0.38,-0.9,-0.75,-0.8,0.08,-0.08,0.95,-0.74,-0.85,0.02,0.025,0.24
Terrence Mitchell,13,207,165,21,10,11,10,23,72,90.0,1324,400,924,50.3,4,8,0,0,0,3,75.00,0,75,132,229,flyers,2023,6.06,6.67,12.73,0.44,4.83,0.11,2.0,6.0,8.0,2.42,4.85,18.39,190.0,0.54,0.15,0.14,8.08,0.17,0.45,0.24,0.27,0.19,2.5,5.61,0.58,6.91,-0.46,-0.24,0.37,-0.59,-0.63,-0.78,-0.44,-0.47,-0.46,-0.0,-0.68,0.05,0.32,-0.43,-0.41,-0.45,0.24
Alex Davis,8,136,146,23,5,18,6,22,79,95.18,1699,427,1272,54.79,13,3,0,4,0,1,100.00,0,102,34,153,flyers,2023,3.42,12.33,15.75,0.54,4.41,0.16,3.0,9.0,12.0,8.9,2.05,21.51,190.0,0.62,0.14,0.15,11.58,0.25,0.56,0.23,0.35,0.19,2.99,8.62,0.67,7.27,-0.3,-0.32,0.54,0.3,-0.18,-0.51,-0.49,-0.15,-0.46,1.17,-0.54,0.59,0.78,-0.38,0.52,0.467,0.24
Sol Yanuck,11,240,271,48,33,15,2,21,446,92.92,4428,3504,924,56.46,17,29,0,0,0,18,54.55,1,203,37,266,flyers,2023,12.18,5.54,17.71,1.65,0.83,0.09,13.0,3.0,16.0,6.27,10.7,9.93,190.0,0.43,0.06,0.08,16.22,0.15,1.63,0.23,0.18,0.2,12.79,3.46,0.33,4.39,-0.68,-0.98,-0.69,1.49,-0.75,2.13,-0.49,-0.83,-0.41,-0.84,2.35,0.79,-0.93,-0.79,-0.01,-0.012,0.24
Tobias Brooks,11,158,130,22,14,8,1,19,77,95.06,1689,597,1092,50.0,9,3,0,1,0,2,100.00,10,52,106,189,flyers,2023,10.77,6.15,16.92,0.59,0.63,0.12,5.0,8.0,13.0,6.92,2.31,21.94,190.0,0.68,0.12,0.14,12.88,0.25,0.61,0.33,0.32,0.21,4.61,8.31,0.76,8.4,-0.18,-0.49,0.37,0.64,-0.18,-0.39,-0.03,-0.27,-0.35,1.05,-0.06,0.01,0.85,-0.22,0.51,0.509,0.24
Elijah Long,11,243,274,37,20,17,4,17,485,95.28,4164,2735,1429,57.66,40,21,0,3,0,7,63.64,0,215,28,272,flyers,2023,7.3,6.2,13.5,1.77,1.65,0.07,10.0,5.0,15.0,14.6,7.66,8.59,190.0,0.38,0.07,0.06,15.1,0.23,1.76,0.18,0.19,0.16,9.89,5.23,0.32,4.36,-0.78,-0.9,-1.04,1.2,-0.29,2.45,-0.72,-0.79,-0.63,-0.15,1.49,0.93,-1.13,-0.8,0.79,0.945,0.24
Liam Searles Bohs,4,82,97,17,11,6,2,17,96,97.96,1598,752,846,58.76,10,1,1,1,0,8,88.89,4,78,4,95,flyers,2023,11.34,6.19,17.53,0.99,2.44,0.21,8.0,9.0,16.0,10.31,1.03,16.65,190.0,0.85,0.17,0.17,16.16,0.34,0.99,0.4,0.4,0.25,7.62,8.59,0.95,10.2,0.16,-0.07,0.89,1.48,0.34,0.55,0.29,0.05,-0.12,1.15,0.82,1.06,0.06,0.03,1.32,0.933,0.24
Ty Naquin,10,111,63,11,4,7,3,14,26,100.0,525,130,395,57.14,2,0,0,0,0,0,--,1,1,110,114,flyers,2023,6.35,11.11,17.46,0.41,2.7,0.13,2.0,6.0,8.0,3.17,0.0,20.19,190.0,1.19,0.26,0.21,8.46,0.4,0.46,0.5,0.62,0.37,2.28,6.25,1.47,15.57,0.84,0.67,1.6,-0.5,0.69,-0.76,0.75,0.93,0.55,0.25,-0.75,0.87,0.59,0.8,0.47,0.364,0.24
Matthew Mcknight,5,105,112,19,13,6,1,13,122,96.06,1474,882,592,58.04,4,5,0,2,0,2,50.00,7,88,17,108,flyers,2023,11.61,5.36,16.96,1.09,0.95,0.12,8.0,5.0,13.0,3.57,4.46,12.08,190.0,0.76,0.14,0.11,13.03,0.25,1.09,0.37,0.35,0.26,7.75,5.32,0.79,9.0,-0.02,-0.32,-0.16,0.67,-0.18,0.8,0.15,-0.15,-0.07,-0.12,0.86,0.98,-0.61,-0.14,0.3,0.226,0.24
Matt Tucker,10,150,72,7,2,5,7,13,25,100.0,351,86,265,44.44,1,0,0,1,0,0,--,1,4,146,150,flyers,2023,2.78,6.94,9.72,0.35,4.67,0.09,1.0,4.0,5.0,1.39,0.0,14.04,190.0,1.0,0.29,0.17,5.21,0.34,0.39,0.42,0.52,0.32,1.44,3.83,1.22,14.22,0.46,0.91,0.89,-1.33,0.34,-0.93,0.38,0.53,0.27,-0.7,-1.0,-0.65,-0.32,0.61,0.06,0.053,0.24
Ethan Bloodworth,10,168,111,14,7,7,3,12,84,92.31,1036,447,589,59.46,9,4,0,1,0,4,80.00,0,31,137,192,flyers,2023,6.31,6.31,12.61,0.76,1.79,0.07,4.0,5.0,9.0,8.11,3.6,12.33,190.0,0.72,0.16,0.1,9.36,0.29,0.77,0.32,0.36,0.25,4.07,5.34,0.8,9.8,-0.1,-0.16,-0.34,-0.27,0.05,0.01,-0.08,-0.11,-0.12,-0.11,-0.22,1.15,-0.58,-0.02,0.14,0.141,0.24
Connor Russell,11,182,111,13,7,6,5,10,46,85.19,1064,434,630,50.45,2,8,0,0,0,4,66.67,44,30,152,181,flyers,2023,6.31,5.41,11.71,0.41,2.75,0.05,4.0,6.0,10.0,1.8,7.21,23.13,190.0,0.72,0.17,0.09,9.6,0.23,0.44,0.32,0.35,0.28,3.96,5.69,0.89,9.71,-0.1,-0.07,-0.51,-0.2,-0.29,-0.81,-0.08,-0.15,0.04,0.03,-0.25,0.07,1.02,-0.04,-0.83,-0.81,0.24
Matt Gouchoe-Hanas,6,120,141,13,4,9,1,10,262,98.13,1401,1401,0,58.87,14,4,0,0,0,3,75.00,0,105,15,134,flyers,2023,2.84,6.38,9.22,1.86,0.83,0.08,10.0,0.0,10.0,9.93,2.84,5.35,190.0,0.57,0.11,0.07,9.94,0.27,1.83,0.23,0.3,0.2,9.77,0.21,0.58,7.39,-0.4,-0.57,-0.87,-0.12,-0.06,2.62,-0.49,-0.35,-0.41,-2.1,1.46,1.08,-1.61,-0.37,1.04,0.873,0.24
William Coffin,12,191,109,14,6,8,1,10,28,84.85,825,210,615,47.71,1,4,0,1,0,2,66.67,100,16,175,191,flyers,2023,5.5,7.34,12.84,0.26,0.52,0.05,2.0,6.0,8.0,0.92,3.67,29.46,190.0,0.74,0.14,0.09,7.68,0.23,0.29,0.32,0.38,0.25,2.06,5.66,0.96,9.96,-0.06,-0.32,-0.51,-0.7,-0.29,-1.18,-0.08,-0.03,-0.12,0.02,-0.81,-0.26,1.96,0.0,-0.37,-0.371,0.24
Andrew McKelvey,10,122,81,10,2,8,4,9,15,75.0,512,77,435,58.02,2,5,0,0,1,0,0.00,1,10,112,135,flyers,2023,2.47,9.88,12.35,0.19,3.28,0.07,1.0,5.0,6.0,2.47,6.17,34.13,190.0,0.93,0.22,0.1,6.53,0.31,0.23,0.37,0.5,0.35,1.19,5.41,1.33,12.56,0.32,0.34,-0.34,-0.99,0.17,-1.33,0.15,0.45,0.44,-0.08,-1.07,0.97,2.65,0.37,-0.96,-0.809,0.24
Kevin Pignone,7,115,79,13,9,4,0,9,112,94.92,1149,759,390,58.23,6,4,1,0,0,4,66.67,3,37,78,121,flyers,2023,11.39,5.06,16.46,1.42,0.0,0.08,10.0,5.0,15.0,7.59,5.06,10.26,190.0,0.99,0.18,0.11,14.27,0.37,1.39,0.46,0.46,0.35,9.33,5.0,1.07,12.69,0.44,0.01,-0.16,0.99,0.51,1.54,0.56,0.29,0.44,-0.24,1.33,1.0,-0.88,0.39,0.48,0.383,0.24
Andrew Sjogren,12,248,300,56,15,41,4,47,243,95.67,4749,1096,3653,48.33,28,10,0,3,0,3,100.00,0,229,19,300,union,2023,5.0,13.67,18.67,0.81,1.61,0.19,4.0,12.0,16.0,9.33,3.33,19.54,181.0,0.41,0.06,0.15,15.73,0.17,0.81,0.15,0.25,0.11,3.68,12.08,0.33,4.08,-0.72,-0.98,0.54,1.37,-0.63,0.11,-0.85,-0.55,-0.92,2.51,-0.34,-0.19,0.49,-0.84,0.9,1.159,-0.038
Jake Steslicki,11,226,193,33,16,17,10,30,260,94.89,1890,943,947,51.3,16,11,1,2,1,1,33.33,0,93,133,274,union,2023,8.29,8.81,17.1,1.35,4.42,0.13,5.0,5.0,10.0,8.29,5.7,7.27,181.0,0.52,0.13,0.15,9.8,0.21,1.34,0.23,0.26,0.18,4.89,4.93,0.44,6.16,-0.5,-0.4,0.54,-0.15,-0.4,1.41,-0.49,-0.51,-0.52,-0.27,0.02,0.17,-1.33,-0.54,0.35,0.431,-0.038
Jack Shanahan,11,225,282,47,27,20,7,29,252,90.32,3880,1706,2174,41.84,15,22,0,3,0,11,45.83,9,207,18,264,union,2023,9.57,7.09,16.67,0.89,3.11,0.13,6.0,8.0,14.0,5.32,7.8,15.4,181.0,0.41,0.08,0.1,13.69,0.14,0.9,0.2,0.19,0.16,6.03,7.68,0.33,4.21,-0.72,-0.82,-0.34,0.84,-0.81,0.33,-0.62,-0.79,-0.63,0.8,0.36,-0.97,-0.12,-0.82,-0.16,-0.193,-0.038
Jace Bruner,13,217,135,16,3,13,15,26,84,94.38,873,377,496,52.59,7,4,0,1,0,2,100.00,2,5,212,274,union,2023,2.22,9.63,11.85,0.62,6.91,0.12,3.0,4.0,6.0,5.19,2.96,10.39,181.0,0.61,0.21,0.19,6.59,0.23,0.64,0.24,0.34,0.21,2.87,3.76,0.65,8.71,-0.32,0.26,1.25,-0.98,-0.29,-0.31,-0.44,-0.19,-0.35,-0.72,-0.58,0.32,-0.86,-0.18,0.0,0.0,-0.038
Benjamin Preiss,11,217,221,39,21,18,4,25,189,91.75,2902,1229,1673,47.51,8,14,0,4,0,6,50.00,0,136,81,252,union,2023,9.5,8.14,17.65,0.86,1.84,0.12,6.0,8.0,13.0,3.62,6.33,15.35,181.0,0.48,0.08,0.11,13.06,0.15,0.86,0.23,0.23,0.17,5.55,7.54,0.42,5.3,-0.58,-0.82,-0.16,0.68,-0.75,0.23,-0.49,-0.63,-0.58,0.75,0.21,-0.29,-0.13,-0.66,0.0,0.0,-0.038
Jesse Johnson,11,181,171,23,5,18,6,24,97,97.0,1441,197,1244,47.95,6,2,0,3,0,1,100.00,1,105,76,214,union,2023,2.92,10.53,13.45,0.57,3.31,0.13,1.0,7.0,8.0,3.51,1.17,14.86,181.0,0.53,0.12,0.14,8.47,0.18,0.58,0.2,0.3,0.15,1.26,7.24,0.54,6.59,-0.48,-0.49,0.37,-0.49,-0.58,-0.46,-0.62,-0.35,-0.69,0.63,-1.05,-0.23,-0.2,-0.48,0.33,0.359,-0.038
Didzis Malderis,12,170,107,17,6,11,6,19,56,91.8,808,341,467,55.14,3,3,0,1,0,0,--,12,17,153,210,union,2023,5.61,10.28,15.89,0.52,3.53,0.11,3.0,4.0,8.0,2.8,2.8,14.43,181.0,0.78,0.19,0.17,7.66,0.25,0.54,0.32,0.41,0.25,3.27,4.44,0.84,10.31,0.02,0.09,0.89,-0.7,-0.18,-0.56,-0.08,0.09,-0.12,-0.46,-0.46,0.63,-0.27,0.05,0.06,0.065,-0.038
Asher Lantz,9,161,111,7,3,4,11,15,35,94.59,523,93,430,39.64,3,2,0,1,0,0,--,4,25,136,189,union,2023,2.7,3.6,6.31,0.32,6.83,0.09,1.0,4.0,5.0,2.7,1.8,14.94,181.0,0.66,0.22,0.13,4.94,0.24,0.34,0.28,0.34,0.23,1.02,3.97,0.82,9.78,-0.22,0.34,0.19,-1.4,-0.23,-1.05,-0.26,-0.19,-0.24,-0.64,-1.12,-1.23,-0.19,-0.03,-0.39,-0.399,-0.038
Nico Lake,10,174,238,24,18,6,2,15,328,96.19,2647,2136,511,41.18,7,7,0,4,0,3,60.00,0,174,0,214,union,2023,7.56,2.52,10.08,1.38,1.15,0.09,9.0,2.0,11.0,2.94,2.94,8.07,181.0,0.39,0.07,0.06,11.1,0.13,1.37,0.2,0.17,0.13,8.89,2.23,0.36,4.77,-0.76,-0.9,-1.04,0.18,-0.86,1.49,-0.62,-0.87,-0.8,-1.32,1.2,-1.05,-1.21,-0.74,0.52,0.565,-0.038
Ross Barker,6,129,162,22,13,9,5,15,129,90.85,2160,934,1226,40.12,10,9,0,3,0,4,40.00,0,116,13,157,union,2023,8.02,5.56,13.58,0.8,3.88,0.12,6.0,8.0,13.0,6.17,5.56,16.74,181.0,0.55,0.12,0.09,13.23,0.21,0.8,0.26,0.26,0.2,5.74,7.52,0.58,6.6,-0.44,-0.49,-0.51,0.73,-0.4,0.08,-0.35,-0.51,-0.41,0.74,0.27,-1.17,0.08,-0.48,0.06,0.056,-0.038
Charlie Furse,8,95,67,7,3,4,4,10,44,93.62,416,205,211,50.75,3,1,0,0,0,0,--,12,6,89,107,union,2023,4.48,5.97,10.45,0.66,4.21,0.11,3.0,3.0,6.0,4.48,1.49,9.45,181.0,1.07,0.26,0.14,6.47,0.39,0.68,0.46,0.54,0.36,3.19,3.35,1.24,14.61,0.6,0.67,0.37,-1.01,0.63,-0.22,0.56,0.61,0.5,-0.88,-0.48,0.1,-1.0,0.66,0.08,0.062,-0.038
Nick Pappas,8,122,75,11,6,5,5,10,43,89.58,783,263,520,44.0,2,4,0,2,0,1,100.00,1,17,105,140,union,2023,8.0,6.67,14.67,0.57,4.1,0.08,4.0,7.0,10.0,2.67,5.33,18.21,181.0,1.01,0.25,0.12,10.41,0.34,0.6,0.45,0.5,0.36,3.6,6.88,1.23,13.56,0.48,0.59,0.01,0.0,0.34,-0.41,0.52,0.45,0.5,0.49,-0.36,-0.71,0.29,0.51,-0.37,-0.325,-0.038
Jerry Kelly,9,87,54,5,4,1,5,9,50,98.04,273,252,21,40.74,3,1,0,0,0,0,--,4,9,78,96,union,2023,7.41,1.85,9.26,0.93,5.75,0.1,5.0,0.0,5.0,5.56,1.85,5.46,181.0,1.27,0.34,0.15,5.47,0.47,0.93,0.58,0.61,0.44,4.69,0.86,1.45,17.64,1.0,1.33,0.54,-1.26,1.09,0.4,1.11,0.89,0.95,-1.85,-0.04,-1.1,-1.59,1.1,0.07,0.051,-0.038
Luke Brennan,9,129,90,13,10,3,7,9,84,88.42,1072,823,249,40.0,4,10,0,1,1,6,66.67,53,15,114,154,union,2023,11.11,3.33,14.44,0.93,5.43,0.07,9.0,3.0,12.0,4.44,11.11,12.76,181.0,0.87,0.23,0.09,11.81,0.31,0.94,0.42,0.4,0.37,8.93,2.94,0.98,11.57,0.2,0.42,-0.51,0.36,0.17,0.43,0.38,0.05,0.55,-1.04,1.21,-1.19,-0.51,0.23,-0.84,-0.775,-0.038
Dex Dremann,10,150,115,15,10,5,7,8,123,91.79,1187,812,375,52.17,9,11,0,3,0,4,66.67,104,24,126,186,union,2023,8.7,4.35,13.04,1.07,4.67,0.05,7.0,3.0,10.0,7.83,9.57,9.65,181.0,0.71,0.18,0.07,10.31,0.28,1.07,0.33,0.33,0.3,6.98,3.38,0.75,9.43,-0.12,0.01,-0.87,-0.02,-0.0,0.75,-0.03,-0.23,0.16,-0.87,0.64,0.27,-0.97,-0.08,-0.6,-0.608,-0.038
