Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,Offensive_Value,Score
Tyler Chan,11,170,134,15,9,6,11,20,115,93.5,1487,793,694,55.22,8,6,0,0,0,4,44.44,2,38,132,212,glory,2025,6.72,4.48,11.19,0.86,6.47,0.12,6.0,5.0,11.0,5.97,4.48,12.93,209.0,0.61,0.19,0.14,11.09,0.27,0.86,0.28,0.29,0.19,5.88,5.21,0.7,-0.32,0.05,0.3,0.12,-0.28,0.23,-0.27,-0.38,-0.26,-0.2,0.29,0.53,-0.4,-0.05,-0.05
Justin Wollin,4,81,92,7,2,5,1,1,88,93.62,1040,706,334,41.3,7,4,0,3,0,1,50.00,0,81,0,73,mechanix,2025,2.17,5.43,7.61,0.96,1.23,0.01,8.0,4.0,11.0,7.61,4.35,11.82,144.0,0.79,0.16,0.01,11.29,0.38,0.96,0.33,0.41,0.25,7.54,3.75,1.0,0.01,-0.18,-1.8,0.17,0.2,0.49,-0.05,0.05,0.13,-0.78,0.77,-0.94,-0.52,-0.08,-0.057
David Nester,4,48,40,8,6,2,1,6,18,90.0,313,224,89,57.5,2,2,0,1,0,0,0.00,0,2,46,51,radicals,2025,15.0,5.0,20.0,0.45,2.08,0.12,6.0,2.0,8.0,5.0,5.0,17.39,192.0,1.73,0.36,0.13,8.18,0.71,0.51,0.8,0.82,0.49,5.53,2.64,2.28,1.73,1.34,0.14,-0.59,1.63,-0.66,1.97,1.53,1.7,-1.21,0.19,0.77,0.08,-0.11,-0.057
Mike Kobyra,12,139,71,5,2,3,3,8,17,100.0,323,110,213,54.93,3,0,0,0,0,0,--,12,0,139,157,hustle,2025,2.82,4.23,7.04,0.24,2.16,0.06,2.0,3.0,5.0,4.23,0.0,19.0,210.0,0.99,0.24,0.11,4.97,0.43,0.29,0.42,0.5,0.26,1.78,3.2,1.37,0.38,0.43,-0.18,-1.37,0.42,-1.22,0.33,0.38,0.2,-0.99,-0.89,0.5,0.25,-0.07,-0.061
Connor Olson,13,238,300,25,15,10,2,11,359,95.73,2776,2245,531,53.67,20,15,0,1,0,3,42.86,1,233,5,282,apex,2025,5.0,3.33,8.33,1.2,0.84,0.05,7.0,2.0,9.0,6.67,5.0,7.73,194.0,0.31,0.06,0.04,9.28,0.16,1.19,0.15,0.15,0.11,7.44,1.84,0.3,-0.87,-0.93,-1.32,-0.32,-0.76,1.08,-0.83,-0.89,-0.78,-1.53,0.74,0.37,-0.96,-0.06,-0.072
Chris Walsh,2,40,53,6,5,1,2,4,63,92.65,832,538,294,41.51,1,4,0,0,0,2,100.00,0,40,0,42,mechanix,2025,9.43,1.89,11.32,1.19,5.0,0.1,10.0,6.0,16.0,1.89,7.55,13.21,144.0,1.31,0.29,0.07,15.29,0.53,1.17,0.6,0.62,0.41,9.71,5.59,1.69,0.96,0.81,-0.83,1.14,0.85,1.03,1.11,0.81,1.17,-0.05,1.39,-0.91,-0.37,-0.14,-0.076
Sean Connole,10,164,187,24,8,16,4,18,136,93.79,1996,675,1321,58.82,10,9,0,1,0,4,80.00,0,133,31,193,hustle,2025,4.28,8.56,12.83,0.73,2.44,0.11,4.0,7.0,11.0,5.35,4.81,14.68,210.0,0.49,0.1,0.09,10.68,0.21,0.73,0.2,0.27,0.15,3.65,7.04,0.52,-0.54,-0.63,-0.51,0.02,-0.54,-0.1,-0.61,-0.45,-0.52,0.52,-0.35,0.91,-0.21,-0.08,-0.077
Gabe Vordick,12,200,271,29,13,16,3,14,254,95.13,2679,692,1987,47.6,34,12,0,6,0,3,50.00,1,197,3,262,radicals,2025,4.8,5.9,10.7,0.94,1.5,0.07,3.0,7.0,10.0,12.55,4.43,10.55,192.0,0.36,0.07,0.05,9.91,0.23,0.94,0.16,0.18,0.12,2.6,7.31,0.35,-0.78,-0.86,-1.16,-0.17,-0.45,0.44,-0.78,-0.78,-0.72,0.62,-0.65,-0.27,-0.65,-0.07,-0.082
Sam Stark,12,197,161,16,9,7,10,18,60,90.91,1437,647,790,52.8,7,5,0,3,0,6,85.71,24,47,150,205,radicals,2025,5.59,4.35,9.94,0.37,5.08,0.09,4.0,5.0,9.0,4.35,3.11,23.95,192.0,0.52,0.15,0.11,8.99,0.22,0.39,0.23,0.25,0.15,4.05,4.94,0.66,-0.48,-0.25,-0.18,-0.39,-0.5,-0.97,-0.48,-0.52,-0.52,-0.31,-0.24,0.28,0.78,-0.08,-0.083
Josh Moore,6,97,124,21,13,8,2,10,132,91.67,1919,769,1150,40.32,5,10,0,3,0,2,40.00,0,93,4,116,steel,2025,10.48,6.45,16.94,1.06,2.06,0.1,6.0,9.0,15.0,4.03,8.06,14.54,163.0,0.71,0.13,0.08,15.3,0.27,1.06,0.33,0.33,0.23,6.16,9.15,0.77,-0.14,-0.4,-0.67,1.15,-0.28,0.75,-0.05,-0.24,0.0,1.35,0.37,-1.04,-0.23,-0.1,-0.084
