Player,G,PP,POS,SCR,AST,GLS,BLK,+/-,Cmp,Cmp%,Y,TY,RY,OEFF,HA,T,S,D,C,Hck,Hck%,Pul,OPP,DPP,MP,Team,Year,AST/POS %,GLS/POS %,SCR/POS %,CMP/POS,BLK/PP %,PM/PP,TY/POS,RY/POS,Y/POS,HA/POS %,T/POS %,Y/CMP,team_avg_min,SCR_adj,BLK_adj,+/-_adj,Y_adj,HA_adj,Cmp_adj,AST_adj,GLS_adj,T_adj,TY_adj,RY_adj,Y/CMP_adj,SCR_Z,BLK_Z,PM_Z,Y_Z,HA_Z,CMP_Z,AST_Z,GLS_Z,T_Z,RY_Z,TY_Z,OEFF_Z,YperCMP_Z,Offensive_Value,Score
Dan Baumgartner,8,59,32,1,1,0,2,3,11,100.0,186,67,119,31.25,1,0,0,0,0,0,--,0,5,54,62,steel,2025,3.12,0.0,3.12,0.34,3.39,0.05,2.0,4.0,6.0,3.12,0.0,16.91,163.0,1.92,0.46,0.08,6.51,0.84,0.43,0.84,0.95,0.54,2.49,4.03,2.75,2.08,2.09,-0.67,-1.0,2.19,-0.86,2.14,2.0,2.02,-0.67,-0.68,-2.0,0.03,-0.25,-0.154
Max Hanscom,10,155,121,12,2,10,15,25,32,94.12,607,131,476,53.72,5,2,0,0,0,0,--,0,7,148,185,windchill,2025,1.65,8.26,9.92,0.26,9.68,0.16,1.0,4.0,5.0,4.13,1.65,18.97,247.0,0.65,0.24,0.2,5.25,0.28,0.29,0.25,0.36,0.17,1.24,4.02,0.83,-0.25,0.43,1.28,-1.3,-0.24,-1.22,-0.4,-0.13,-0.39,-0.67,-1.04,0.37,0.25,-0.18,-0.156
Andrew Sjogren,8,88,73,10,4,6,4,11,33,91.67,599,137,462,63.01,2,3,0,0,0,0,--,0,8,80,105,union,2025,5.48,8.22,13.7,0.45,4.55,0.12,2.0,6.0,8.0,2.74,4.11,18.15,166.0,1.03,0.24,0.14,8.38,0.41,0.49,0.44,0.53,0.29,2.08,6.31,1.32,0.45,0.43,0.3,-0.54,0.33,-0.71,0.42,0.49,0.39,0.23,-0.8,1.35,0.16,-0.2,-0.159
Nicholas Dunbar,11,154,113,13,6,7,6,12,67,91.78,1225,372,853,33.63,2,5,0,2,1,1,33.33,19,47,107,175,aviators,2025,5.31,6.19,11.5,0.59,3.9,0.08,3.0,8.0,11.0,1.77,4.42,18.28,175.0,0.7,0.18,0.1,10.85,0.27,0.61,0.31,0.36,0.21,3.36,7.48,0.88,-0.15,-0.03,-0.34,0.06,-0.28,-0.4,-0.14,-0.13,-0.13,0.69,-0.43,-1.75,0.17,-0.16,-0.16
Zachary Cotter,12,189,127,18,7,11,10,17,77,88.51,1717,562,1155,38.58,5,8,0,3,0,5,62.50,52,51,138,198,havoc,2025,5.51,8.66,14.17,0.61,5.29,0.09,4.0,9.0,14.0,3.94,6.3,22.3,152.0,0.67,0.19,0.13,13.42,0.27,0.62,0.28,0.35,0.21,4.45,8.98,0.81,-0.21,0.05,0.14,0.69,-0.28,-0.38,-0.27,-0.16,-0.13,1.28,-0.12,-1.22,0.6,-0.14,-0.16
Jake Rubin-Miller,11,178,147,16,5,11,9,21,54,94.74,809,210,599,61.9,8,3,0,1,1,1,100.00,0,4,174,222,union,2025,3.4,7.48,10.88,0.37,5.06,0.12,1.0,4.0,6.0,5.44,2.04,14.98,166.0,0.57,0.16,0.14,5.68,0.25,0.39,0.23,0.3,0.15,1.55,4.14,0.66,-0.39,-0.18,0.3,-1.2,-0.37,-0.97,-0.48,-0.34,-0.52,-0.62,-0.95,1.24,-0.18,-0.14,-0.162
Xavier Payne,10,208,174,32,26,6,15,27,306,92.17,2373,2292,81,55.17,16,19,0,1,1,13,59.09,152,27,181,238,union,2025,14.94,3.45,18.39,1.76,7.21,0.13,13.0,0.0,14.0,9.2,10.92,7.75,166.0,0.57,0.17,0.15,13.56,0.26,1.74,0.31,0.23,0.22,12.94,0.62,0.52,-0.39,-0.1,0.47,0.72,-0.32,2.48,-0.14,-0.6,-0.07,-2.01,2.32,0.53,-0.95,-0.14,-0.168
Connor Newell,8,148,144,12,8,4,3,5,183,93.85,1592,1226,366,43.06,7,8,0,2,0,3,50.00,2,83,65,159,thunderbirds,2025,5.56,2.78,8.33,1.27,2.03,0.03,9.0,3.0,11.0,4.86,5.56,8.7,152.0,0.55,0.12,0.03,11.05,0.25,1.26,0.26,0.26,0.19,8.4,2.66,0.63,-0.43,-0.48,-1.48,0.11,-0.37,1.26,-0.35,-0.49,-0.26,-1.2,1.01,-0.75,-0.85,-0.17,-0.174
Carter Lankford,10,151,106,19,2,17,18,30,51,89.47,1072,202,870,52.83,5,6,0,1,0,0,--,1,16,135,165,spiders,2025,1.89,16.04,17.92,0.48,11.92,0.2,2.0,8.0,10.0,4.72,5.66,21.02,204.0,0.8,0.3,0.27,10.15,0.32,0.5,0.29,0.47,0.23,2.05,8.11,0.96,0.03,0.88,2.41,-0.11,-0.06,-0.69,-0.22,0.27,0.0,0.94,-0.81,0.28,0.47,-0.2,-0.18
Dillon Whited,4,61,79,16,4,12,1,13,38,90.48,715,133,582,54.43,3,4,0,0,0,0,--,0,61,0,69,spiders,2025,5.06,15.19,20.25,0.48,1.64,0.21,2.0,7.0,9.0,3.8,5.06,18.82,204.0,1.02,0.19,0.15,9.17,0.39,0.51,0.4,0.56,0.29,1.88,7.29,1.24,0.43,0.05,0.47,-0.35,0.24,-0.66,0.25,0.59,0.39,0.62,-0.86,0.45,0.23,-0.32,-0.186
Wyatt Krisky,3,42,27,4,1,3,2,4,14,93.33,309,48,261,55.56,0,1,0,1,0,0,--,0,6,36,41,thunderbirds,2025,3.7,11.11,14.81,0.52,4.76,0.1,2.0,10.0,11.0,0.0,3.7,22.07,152.0,2.31,0.53,0.12,11.38,0.94,0.59,0.97,1.19,0.66,2.28,9.09,3.35,2.8,2.62,-0.02,0.19,2.63,-0.46,2.7,2.87,2.8,1.32,-0.74,0.57,0.58,-0.36,-0.187
Dox Raskin,11,189,134,17,12,5,7,16,130,94.89,1088,663,425,40.3,6,7,1,1,0,0,0.00,36,40,149,212,aviators,2025,8.96,3.73,12.69,0.97,3.7,0.08,5.0,3.0,8.0,4.48,5.22,8.37,175.0,0.63,0.16,0.12,8.22,0.26,0.97,0.3,0.29,0.19,4.95,3.27,0.67,-0.28,-0.18,-0.02,-0.58,-0.32,0.52,-0.18,-0.38,-0.26,-0.96,0.02,-1.04,-0.89,-0.18,-0.198
Joel Close,9,150,123,11,6,5,8,15,72,93.51,1141,441,700,48.78,4,4,0,0,0,1,100.00,13,69,81,146,alleycats,2025,4.88,4.07,8.94,0.59,5.33,0.1,4.0,6.0,9.0,3.25,3.25,15.85,164.0,0.63,0.18,0.12,9.34,0.27,0.6,0.28,0.31,0.19,3.64,5.7,0.79,-0.28,-0.03,-0.02,-0.31,-0.28,-0.43,-0.27,-0.31,-0.26,-0.01,-0.35,-0.15,-0.09,-0.21,-0.198
Oliver Fay,9,160,82,13,6,7,9,16,42,87.5,940,224,716,51.22,8,5,0,1,0,2,66.67,10,14,146,160,empire,2025,7.32,8.54,15.85,0.51,5.62,0.1,3.0,9.0,11.0,9.76,6.1,22.38,213.0,0.95,0.28,0.18,11.44,0.44,0.54,0.41,0.48,0.29,2.86,8.57,1.23,0.3,0.73,0.95,0.21,0.46,-0.58,0.29,0.31,0.39,1.12,-0.58,0.11,0.61,-0.23,-0.199
Jack Kempe,5,81,76,4,3,1,2,3,63,94.03,648,445,203,34.21,4,3,0,0,0,1,50.00,0,38,43,86,alleycats,2025,3.95,1.32,5.26,0.83,2.47,0.04,6.0,3.0,9.0,5.26,3.95,10.29,164.0,0.91,0.21,0.04,8.68,0.42,0.84,0.41,0.44,0.28,5.8,2.88,1.18,0.23,0.2,-1.32,-0.47,0.37,0.18,0.29,0.16,0.33,-1.12,0.27,-1.69,-0.68,-0.28,-0.203
Rowan McDonnell,14,265,322,66,42,24,3,41,299,92.28,3750,1638,2112,54.97,15,25,0,3,0,9,50.00,1,261,4,330,breeze,2025,13.04,7.45,20.5,0.93,1.13,0.15,5.0,7.0,12.0,4.66,7.76,12.54,202.0,0.42,0.06,0.13,11.64,0.14,0.93,0.22,0.18,0.14,5.09,6.55,0.3,-0.67,-0.93,0.14,0.25,-0.84,0.41,-0.53,-0.78,-0.59,0.32,0.06,0.51,-0.44,-0.16,-0.205
Nicholas DiGiorgio,9,119,112,15,6,9,2,12,56,93.33,926,232,694,54.46,4,4,0,1,0,1,100.00,0,58,61,134,sol,2025,5.36,8.04,13.39,0.5,1.68,0.1,2.0,6.0,8.0,3.57,3.57,16.54,193.0,0.73,0.15,0.1,8.38,0.29,0.52,0.31,0.38,0.21,2.2,6.19,0.87,-0.1,-0.25,-0.34,-0.54,-0.19,-0.63,-0.14,-0.06,-0.13,0.18,-0.77,0.45,-0.01,-0.25,-0.208
Mace Chope,10,136,95,9,2,7,4,11,21,87.5,558,49,509,46.32,1,1,0,1,0,0,--,14,30,106,134,alleycats,2025,2.11,7.37,9.47,0.22,2.94,0.08,1.0,5.0,6.0,1.05,1.05,26.57,164.0,0.79,0.19,0.11,6.13,0.31,0.26,0.32,0.42,0.21,0.74,5.39,1.12,0.01,0.05,-0.18,-1.09,-0.11,-1.3,-0.1,0.09,-0.13,-0.13,-1.19,-0.41,1.06,-0.23,-0.208
Caiden Burt,12,193,127,16,4,12,6,17,40,88.89,981,201,780,37.01,3,4,0,1,0,2,66.67,0,52,141,210,havoc,2025,3.15,9.45,12.6,0.31,3.11,0.09,2.0,6.0,8.0,2.36,3.15,24.52,152.0,0.65,0.16,0.13,7.85,0.25,0.34,0.26,0.36,0.18,1.71,6.14,0.83,-0.25,-0.18,0.14,-0.67,-0.37,-1.09,-0.35,-0.13,-0.33,0.16,-0.91,-1.39,0.84,-0.18,-0.212
Brock Jensen,4,57,38,2,1,1,0,1,24,88.89,279,229,50,26.32,2,1,0,0,0,1,100.00,1,20,37,52,bighorns,2025,2.63,2.63,5.26,0.63,0.0,0.02,6.0,1.0,7.0,5.26,2.63,11.62,142.0,1.67,0.35,0.02,7.77,0.74,0.67,0.72,0.84,0.49,5.91,1.86,2.25,1.62,1.26,-1.64,-0.69,1.76,-0.25,1.62,1.61,1.7,-1.52,0.3,-2.52,-0.54,-0.36,-0.218
Topher Davis,12,183,217,15,9,6,3,10,169,96.57,1587,815,772,56.22,13,6,0,2,0,1,33.33,0,155,28,248,glory,2025,4.15,2.76,6.91,0.78,1.64,0.05,4.0,4.0,7.0,5.99,2.76,9.39,209.0,0.38,0.08,0.05,7.4,0.19,0.78,0.18,0.18,0.12,3.78,3.61,0.43,-0.74,-0.78,-1.16,-0.78,-0.63,0.03,-0.7,-0.78,-0.72,-0.83,-0.31,0.64,-0.78,-0.2,-0.218
Erik Hotaling,10,142,98,13,7,6,7,12,74,91.36,1198,650,548,52.04,6,7,0,1,0,3,50.00,11,14,128,167,apex,2025,7.14,6.12,13.27,0.76,4.93,0.08,7.0,6.0,12.0,6.12,7.14,16.19,194.0,0.81,0.21,0.12,12.17,0.35,0.77,0.36,0.4,0.26,6.55,5.61,0.98,0.05,0.2,-0.02,0.38,0.07,0.0,0.08,0.02,0.2,-0.04,0.48,0.2,-0.05,-0.24,-0.223
Max Grove,10,187,143,14,11,3,6,13,93,93.0,1373,524,849,35.66,9,6,0,1,0,6,85.71,2,69,118,213,havoc,2025,7.69,2.1,9.79,0.65,3.21,0.07,4.0,6.0,10.0,6.29,4.2,14.76,152.0,0.57,0.14,0.09,9.65,0.26,0.66,0.28,0.26,0.18,3.71,5.94,0.67,-0.39,-0.33,-0.51,-0.23,-0.32,-0.28,-0.27,-0.49,-0.33,0.08,-0.33,-1.53,-0.2,-0.19,-0.225
Harrison Tucker,11,174,199,15,2,13,2,12,63,96.92,1234,31,1203,29.15,6,2,0,3,0,1,100.00,0,126,48,201,bighorns,2025,1.01,6.53,7.54,0.32,1.15,0.07,0.0,6.0,6.0,3.02,1.01,19.59,142.0,0.42,0.08,0.06,6.32,0.18,0.33,0.16,0.24,0.11,0.27,6.04,0.51,-0.67,-0.78,-0.99,-1.04,-0.67,-1.12,-0.78,-0.56,-0.78,0.12,-1.32,-2.22,0.31,-0.19,-0.226
Nathan De Morgan,8,138,112,24,14,10,4,17,57,82.61,1612,663,949,50.0,5,11,0,0,0,9,69.23,0,38,100,153,shred,2025,12.5,8.93,21.43,0.51,2.9,0.12,6.0,8.0,14.0,4.46,9.82,28.28,214.0,0.8,0.16,0.15,14.25,0.3,0.53,0.38,0.38,0.26,5.88,8.37,0.97,0.03,-0.18,0.47,0.89,-0.15,-0.61,0.16,-0.06,0.2,1.04,0.29,-0.02,1.24,-0.27,-0.228
Seth Gudeman,10,244,288,46,19,27,20,44,266,90.78,3887,1349,2538,38.89,15,22,1,0,1,6,42.86,29,189,55,272,alleycats,2025,6.6,9.38,15.97,0.92,8.2,0.18,5.0,9.0,13.0,5.21,7.64,14.61,164.0,0.4,0.12,0.15,13.45,0.15,0.92,0.17,0.21,0.14,4.69,8.76,0.34,-0.71,-0.48,0.47,0.7,-0.8,0.39,-0.74,-0.67,-0.59,1.19,-0.05,-1.19,-0.22,-0.18,-0.232
Mikey O'Brien,10,209,141,8,7,1,7,13,82,96.47,853,275,578,50.35,4,2,2,0,0,0,--,16,30,179,226,cascades,2025,4.96,0.71,5.67,0.58,3.35,0.06,2.0,4.0,6.0,2.84,1.42,10.4,177.0,0.53,0.15,0.09,6.22,0.23,0.6,0.25,0.25,0.15,2.05,4.16,0.65,-0.47,-0.25,-0.51,-1.07,-0.45,-0.43,-0.4,-0.52,-0.52,-0.61,-0.81,0.02,-0.67,-0.21,-0.237
Wyatt Kellman,3,52,58,15,10,5,2,10,50,84.75,892,358,534,53.45,5,7,0,0,0,3,50.00,0,47,5,62,glory,2025,17.24,8.62,25.86,0.86,3.85,0.19,6.0,9.0,15.0,8.62,12.07,17.84,209.0,1.35,0.27,0.16,15.03,0.56,0.87,0.63,0.63,0.43,6.08,8.95,1.63,1.04,0.65,0.63,1.08,0.98,0.26,1.24,0.85,1.3,1.27,0.35,0.35,0.13,-0.44,-0.24
Justin Burnett,14,250,194,22,10,12,21,31,71,91.03,1681,571,1110,46.91,7,7,1,5,1,1,50.00,1,14,236,300,windchill,2025,5.15,6.19,11.34,0.37,8.4,0.12,3.0,6.0,9.0,3.61,3.61,23.68,247.0,0.46,0.18,0.16,8.72,0.19,0.38,0.2,0.24,0.14,2.99,5.73,0.55,-0.59,-0.03,0.63,-0.46,-0.63,-0.99,-0.61,-0.56,-0.59,0.0,-0.54,-0.35,0.75,-0.22,-0.242
Kevin Healey,14,187,129,18,5,13,5,18,67,93.06,902,222,680,55.04,2,4,0,1,0,0,--,0,42,145,228,breeze,2025,3.88,10.08,13.95,0.52,2.67,0.1,2.0,5.0,7.0,1.55,3.1,13.46,202.0,0.66,0.15,0.13,7.14,0.24,0.54,0.26,0.36,0.18,1.84,5.3,0.73,-0.23,-0.25,0.14,-0.84,-0.41,-0.58,-0.35,-0.13,-0.33,-0.17,-0.87,0.51,-0.34,-0.23,-0.244
Connor Concannon,11,239,297,36,10,26,2,20,80,87.91,2767,402,2365,34.68,9,11,0,7,0,4,66.67,0,221,18,243,mechanix,2025,3.37,8.75,12.12,0.27,0.84,0.08,1.0,8.0,9.0,3.03,3.7,34.59,144.0,0.35,0.06,0.07,9.34,0.13,0.28,0.13,0.2,0.1,1.41,7.93,0.4,-0.8,-0.93,-0.83,-0.31,-0.89,-1.25,-0.91,-0.71,-0.85,0.87,-0.99,-1.64,1.92,-0.19,-0.247
Matt Hanna,10,188,222,18,5,13,3,8,138,93.24,2605,559,2046,52.25,12,9,0,4,0,1,33.33,0,180,8,210,phoenix,2025,2.25,5.86,8.11,0.62,1.6,0.04,3.0,9.0,12.0,5.41,4.05,18.88,179.0,0.39,0.08,0.04,11.72,0.19,0.63,0.15,0.21,0.13,2.57,9.15,0.46,-0.72,-0.78,-1.32,0.27,-0.63,-0.35,-0.83,-0.67,-0.65,1.35,-0.66,0.22,0.24,-0.24,-0.26
Angelo Olcese,8,114,73,8,7,1,2,6,78,95.12,622,527,95,49.32,5,4,0,0,0,1,50.00,0,9,105,142,flyers,2025,9.59,1.37,10.96,1.07,1.75,0.05,7.0,1.0,9.0,6.85,5.48,7.97,175.0,1.0,0.22,0.08,8.68,0.45,1.06,0.47,0.46,0.31,7.08,1.6,1.19,0.4,0.28,-0.67,-0.47,0.5,0.75,0.55,0.23,0.52,-1.62,0.63,-0.09,-0.93,-0.29,-0.261
Mitchell Savage,7,105,54,1,0,1,1,1,21,95.45,258,88,170,27.78,3,0,0,1,0,0,--,0,14,91,106,mechanix,2025,0.0,1.85,1.85,0.39,0.95,0.01,2.0,3.0,5.0,5.56,0.0,12.29,144.0,1.2,0.27,0.02,5.31,0.56,0.44,0.51,0.61,0.34,1.92,3.39,1.65,0.76,0.65,-1.64,-1.29,0.98,-0.84,0.72,0.78,0.72,-0.92,-0.85,-2.36,-0.47,-0.31,-0.266
Victor Sauvé,7,88,83,8,1,7,0,6,23,92.0,460,99,361,49.4,4,2,0,0,0,0,--,0,42,46,98,royal,2025,1.2,8.43,9.64,0.28,0.0,0.07,1.0,4.0,6.0,4.82,2.41,20.0,172.0,0.89,0.17,0.07,5.85,0.39,0.32,0.35,0.48,0.25,1.41,4.44,1.19,0.19,-0.1,-0.83,-1.16,0.24,-1.15,0.03,0.31,0.13,-0.5,-0.99,-0.08,0.36,-0.36,-0.272
Royce Grundy,7,69,44,5,3,2,3,6,14,93.33,257,102,155,31.82,0,1,0,1,0,0,--,0,5,64,97,aviators,2025,6.82,4.55,11.36,0.32,4.35,0.09,2.0,4.0,6.0,0.0,2.27,18.36,175.0,1.53,0.37,0.12,6.37,0.61,0.39,0.67,0.76,0.43,2.59,3.78,2.11,1.37,1.41,-0.02,-1.03,1.2,-0.97,1.41,1.32,1.3,-0.76,-0.66,-1.94,0.18,-0.37,-0.275
Caleb Stanish,6,54,31,2,1,1,2,4,4,100.0,120,14,106,32.26,1,0,0,0,0,0,--,0,3,51,56,thunderbirds,2025,3.23,3.23,6.45,0.13,3.7,0.07,0.0,3.0,4.0,3.23,0.0,30.0,152.0,2.0,0.47,0.11,4.86,0.86,0.25,0.86,1.0,0.56,1.08,3.78,3.19,2.23,2.17,-0.18,-1.4,2.28,-1.32,2.22,2.18,2.15,-0.76,-1.09,-1.89,1.43,-0.47,-0.285
Jack Brown,11,213,168,18,12,6,10,17,77,88.51,1649,539,1110,49.4,6,8,0,3,0,5,62.50,4,87,126,230,cascades,2025,7.14,3.57,10.71,0.46,4.69,0.08,3.0,7.0,10.0,3.57,4.76,21.42,177.0,0.51,0.14,0.1,9.85,0.21,0.47,0.24,0.24,0.16,3.26,6.59,0.62,-0.5,-0.33,-0.34,-0.18,-0.54,-0.76,-0.44,-0.56,-0.46,0.34,-0.46,-0.08,0.51,-0.25,-0.285
Brandon Dial,11,175,129,11,5,6,4,11,98,96.08,856,392,464,51.16,6,4,0,0,0,0,--,3,27,148,201,sol,2025,3.88,4.65,8.53,0.76,2.29,0.06,3.0,4.0,7.0,4.65,3.1,8.73,193.0,0.6,0.14,0.08,6.8,0.27,0.77,0.26,0.31,0.18,3.11,3.69,0.7,-0.34,-0.33,-0.67,-0.93,-0.28,0.0,-0.35,-0.31,-0.33,-0.8,-0.51,0.1,-0.85,-0.28,-0.286
Tommy Li,12,230,289,33,14,19,4,19,163,90.56,2858,1072,1786,52.6,23,16,0,2,0,8,66.67,0,230,0,263,cascades,2025,4.84,6.57,11.42,0.56,1.74,0.08,4.0,6.0,10.0,7.96,5.54,17.53,177.0,0.35,0.06,0.06,9.91,0.18,0.57,0.15,0.18,0.12,3.73,6.18,0.35,-0.8,-0.93,-0.99,-0.17,-0.67,-0.51,-0.83,-0.78,-0.72,0.18,-0.33,0.26,0.09,-0.24,-0.293
Jeremy Hill,8,169,199,21,7,14,5,15,84,90.32,1883,519,1364,50.75,9,8,0,3,0,4,80.00,0,158,11,177,royal,2025,3.52,7.04,10.55,0.42,2.96,0.09,3.0,7.0,9.0,4.52,4.02,22.42,172.0,0.45,0.1,0.07,9.5,0.19,0.44,0.18,0.24,0.14,2.67,6.83,0.53,-0.61,-0.63,-0.83,-0.27,-0.63,-0.84,-0.7,-0.56,-0.59,0.43,-0.63,0.06,0.62,-0.29,-0.294
Sam Goldstein,11,133,99,12,6,6,6,13,79,90.8,821,520,301,50.51,4,5,0,0,0,2,40.00,0,10,123,166,apex,2025,6.06,6.06,12.12,0.8,4.51,0.1,5.0,3.0,8.0,4.04,5.05,10.39,194.0,0.79,0.2,0.12,8.42,0.33,0.81,0.35,0.39,0.24,5.24,3.18,0.92,0.01,0.12,-0.02,-0.53,-0.02,0.11,0.03,-0.02,0.07,-1.0,0.1,0.03,-0.67,-0.32,-0.296
Wyatt Berreman,12,133,101,4,1,3,5,9,40,100.0,359,112,247,50.5,3,0,0,0,0,0,--,1,0,133,165,spiders,2025,0.99,2.97,3.96,0.4,3.76,0.07,1.0,2.0,4.0,2.97,0.0,8.98,204.0,0.7,0.19,0.08,3.91,0.31,0.42,0.29,0.36,0.19,1.29,2.61,0.89,-0.15,0.05,-0.67,-1.63,-0.11,-0.89,-0.22,-0.13,-0.26,-1.22,-1.03,0.03,-0.82,-0.33,-0.297
Jeremie Giard,3,41,19,3,2,1,2,4,7,87.5,202,58,144,63.16,1,1,0,0,0,0,--,0,1,40,47,royal,2025,10.53,5.26,15.79,0.37,4.88,0.1,3.0,8.0,11.0,5.26,5.26,28.86,172.0,3.04,0.71,0.17,10.71,1.29,0.5,1.33,1.5,0.88,3.46,7.25,4.74,4.14,3.98,0.79,0.03,4.15,-0.69,4.24,3.99,4.24,0.6,-0.41,1.37,1.31,-0.58,-0.303
Jack Wisner,11,193,113,14,3,11,13,22,36,92.31,668,80,588,53.1,1,3,0,2,0,1,100.00,0,26,167,214,phoenix,2025,2.65,9.73,12.39,0.32,6.74,0.11,1.0,5.0,6.0,0.88,2.65,18.56,179.0,0.71,0.24,0.19,6.13,0.26,0.35,0.28,0.39,0.19,0.89,5.24,0.88,-0.14,0.43,1.11,-1.09,-0.32,-1.07,-0.27,-0.02,-0.26,-0.19,-1.14,0.31,0.2,-0.29,-0.317
Kyle Weinberg,12,222,139,19,6,13,11,23,76,92.68,866,501,365,54.68,7,6,0,1,0,2,50.00,146,24,198,233,shred,2025,4.32,9.35,13.67,0.55,4.95,0.1,4.0,3.0,6.0,5.04,4.32,11.39,214.0,0.62,0.18,0.16,6.4,0.26,0.56,0.25,0.33,0.18,3.65,2.74,0.67,-0.3,-0.03,0.63,-1.02,-0.32,-0.53,-0.4,-0.24,-0.33,-1.17,-0.35,0.48,-0.56,-0.31,-0.323
Nathan Ploeger,9,185,200,18,6,12,2,13,64,85.33,1703,411,1292,34.5,6,7,0,0,0,1,50.00,0,137,48,192,mechanix,2025,3.0,6.0,9.0,0.32,1.08,0.07,2.0,6.0,9.0,3.0,3.5,26.61,144.0,0.43,0.08,0.06,8.58,0.18,0.34,0.18,0.23,0.13,2.13,6.45,0.54,-0.65,-0.78,-0.99,-0.49,-0.67,-1.09,-0.7,-0.6,-0.65,0.29,-0.79,-1.65,1.06,-0.28,-0.323
Jeff Wodatch,12,177,213,23,10,13,5,10,180,92.31,2845,1030,1815,51.64,16,15,0,3,0,5,62.50,0,167,10,221,breeze,2025,4.69,6.1,10.8,0.85,2.82,0.06,5.0,9.0,13.0,7.51,7.04,15.81,202.0,0.43,0.09,0.05,13.3,0.21,0.85,0.18,0.22,0.16,4.84,8.46,0.46,-0.65,-0.71,-1.16,0.66,-0.54,0.21,-0.7,-0.63,-0.46,1.08,-0.01,0.15,-0.09,-0.31,-0.324
Justin Perticone,8,188,256,20,10,10,5,10,187,93.5,2380,918,1462,39.06,19,11,0,4,0,2,40.00,0,180,8,209,mechanix,2025,3.91,3.91,7.81,0.73,2.66,0.05,4.0,6.0,9.0,7.42,4.3,12.73,144.0,0.34,0.08,0.04,9.33,0.19,0.74,0.15,0.17,0.12,3.61,5.72,0.37,-0.82,-0.78,-1.32,-0.31,-0.63,-0.07,-0.83,-0.81,-0.72,-0.0,-0.36,-1.17,-0.42,-0.27,-0.325
Brandon Li,9,127,130,12,5,7,5,12,49,89.09,1047,204,843,50.0,2,4,0,1,0,1,100.00,1,80,47,144,cascades,2025,3.85,5.38,9.23,0.38,3.94,0.09,2.0,6.0,8.0,1.54,3.08,21.37,177.0,0.61,0.15,0.09,8.16,0.24,0.4,0.26,0.31,0.18,1.7,6.47,0.79,-0.32,-0.25,-0.51,-0.59,-0.41,-0.94,-0.35,-0.31,-0.33,0.29,-0.91,-0.02,0.5,-0.36,-0.325
Lincoln Grench,8,125,92,12,8,4,5,12,61,92.42,764,400,364,51.09,5,5,0,0,0,2,66.67,0,5,120,141,spiders,2025,8.7,4.35,13.04,0.66,4.0,0.1,4.0,4.0,8.0,5.43,5.43,12.52,204.0,0.85,0.21,0.12,8.44,0.36,0.68,0.39,0.4,0.26,4.38,4.06,1.01,0.12,0.2,-0.02,-0.53,0.11,-0.23,0.21,0.02,0.2,-0.65,-0.14,0.1,-0.44,-0.4,-0.333
Kai Marshall,13,205,132,6,2,4,8,10,43,93.48,770,246,524,51.52,5,2,0,2,0,1,100.00,0,26,179,199,apex,2025,1.52,3.03,4.55,0.33,3.9,0.05,2.0,4.0,6.0,3.79,1.52,17.91,194.0,0.55,0.17,0.07,6.02,0.26,0.35,0.23,0.28,0.16,1.98,4.04,0.75,-0.43,-0.1,-0.83,-1.12,-0.32,-1.07,-0.48,-0.42,-0.46,-0.66,-0.83,0.14,0.13,-0.33,-0.334
Wilkie Lewis,11,229,256,22,7,15,0,9,140,94.59,2073,734,1339,53.13,12,8,0,5,0,2,40.00,0,201,28,248,rush,2025,2.73,5.86,8.59,0.55,0.0,0.04,3.0,5.0,8.0,4.69,3.12,14.81,174.0,0.35,0.06,0.03,8.15,0.16,0.56,0.14,0.19,0.11,2.91,5.25,0.38,-0.8,-0.93,-1.48,-0.6,-0.76,-0.53,-0.87,-0.74,-0.78,-0.19,-0.56,0.31,-0.2,-0.28,-0.334
Toya Chukwumerije,10,109,55,2,0,2,5,7,11,100.0,125,31,94,30.91,2,0,0,0,0,0,--,0,10,99,109,havoc,2025,0.0,3.64,3.64,0.2,4.59,0.06,1.0,2.0,2.0,3.64,0.0,11.36,152.0,1.2,0.33,0.12,3.0,0.53,0.27,0.5,0.62,0.33,0.93,2.07,1.61,0.76,1.11,-0.02,-1.85,0.85,-1.27,0.68,0.81,0.65,-1.44,-1.13,-2.03,-0.57,-0.4,-0.339
Tristan Yarter,10,112,46,2,2,0,5,5,37,97.37,156,199,-43,52.17,2,1,0,1,0,0,--,10,2,110,127,empire,2025,4.35,0.0,4.35,0.8,4.46,0.04,4.0,-1.0,3.0,4.35,2.17,4.22,213.0,1.41,0.39,0.1,4.14,0.63,0.82,0.63,0.69,0.41,4.39,-0.25,1.75,1.15,1.56,-0.34,-1.58,1.28,0.13,1.24,1.06,1.17,-2.35,-0.14,0.21,-1.33,-0.44,-0.34
Emmett Warner,5,80,50,7,6,1,1,3,60,93.75,630,427,203,46.0,2,4,0,1,0,3,42.86,15,24,56,92,steel,2025,12.0,2.0,14.0,1.2,1.25,0.04,9.0,4.0,13.0,4.0,8.0,10.5,163.0,1.4,0.29,0.05,12.45,0.58,1.18,0.65,0.65,0.44,8.22,4.24,1.74,1.13,0.81,-1.16,0.45,1.07,1.05,1.32,0.92,1.37,-0.58,0.96,-0.44,-0.66,-0.46,-0.346
